age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,b'bm8=',2343,b'eWVz',no,unknown,5,may,1042,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
56,admin.,married,secondary,b'bm8=',45,b'bm8=',no,unknown,5,may,1467,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,technician,married,secondary,b'bm8=',1270,b'eWVz',no,unknown,5,may,1389,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
55,services,married,secondary,b'bm8=',2476,b'eWVz',no,unknown,5,may,579,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
54,admin.,married,tertiary,b'bm8=',184,b'bm8=',no,unknown,5,may,673,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
42,management,single,tertiary,b'bm8=',0,b'eWVz',yes,unknown,5,may,562,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
56,management,married,tertiary,b'bm8=',830,b'eWVz',yes,unknown,6,may,1201,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,retired,divorced,secondary,b'bm8=',545,b'eWVz',no,unknown,6,may,1030,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,technician,married,secondary,b'bm8=',1,b'eWVz',no,unknown,6,may,608,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,services,single,secondary,b'bm8=',5090,b'eWVz',no,unknown,6,may,1297,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,admin.,single,secondary,b'bm8=',100,b'eWVz',no,unknown,7,may,786,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,blue-collar,married,secondary,b'bm8=',309,b'eWVz',no,unknown,7,may,1574,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,management,married,tertiary,b'bm8=',199,b'eWVz',yes,unknown,7,may,1689,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
46,blue-collar,single,tertiary,b'bm8=',460,b'eWVz',no,unknown,7,may,1102,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,technician,single,tertiary,b'bm8=',703,b'eWVz',no,unknown,8,may,943,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,management,divorced,tertiary,b'bm8=',3837,b'eWVz',no,unknown,8,may,1084,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,blue-collar,single,primary,b'bm8=',611,b'eWVz',no,unknown,8,may,541,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
49,services,married,secondary,b'bm8=',-8,b'eWVz',no,unknown,8,may,1119,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,admin.,married,secondary,b'bm8=',55,b'eWVz',no,unknown,8,may,1120,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
49,admin.,divorced,secondary,b'bm8=',168,b'eWVz',yes,unknown,8,may,513,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,admin.,divorced,secondary,b'bm8=',785,b'eWVz',no,unknown,8,may,442,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
43,management,single,tertiary,b'bm8=',2067,b'eWVz',no,unknown,8,may,756,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
