personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
37082.336,11.90159,197,249,106,221,0.42563963,0.39653957,0.20542502
25390.354,30.370485,201,255,347,345,0.5123762,0.4865477,0.530681
35675.15,17.140541,233,218,266,308,0.47309995,0.72972226,0.7450061
37055.52,14.709272,267,136,301,185,0.29071307,0.47856784,0.47790945
39270.523,9.560829,10,258,79,28,-0.15572953,-0.03541529,0.009661794
37902.758,10.875409,344,129,80,22,0.026283145,-0.21907175,-0.23043478
26703.986,29.56411,116,282,206,260,-0.48761833,-0.7052245,-0.0022182465
37963.51,11.148407,289,112,98,216,0.11657405,0.032630444,0.020667672
28003.445,27.297558,120,292,218,315,-0.6130817,-0.77113414,-0.0008587837
37570.926,11.511968,231,189,300,213,0.14859712,0.10810697,0.081140995
37444.934,11.694148,121,240,290,52,-0.36920238,-0.6152545,0.011235476
38886.195,8.408742,242,178,25,214,0.9019259,0.82327175,0.839713
38839.543,9.641742,149,278,270,329,-0.16154432,-0.17024267,0.0058375597
18230.092,47.479675,52,2,146,34,0.35169005,0.1124903,-0.00561738
37323.387,11.530214,263,152,165,203,0.07058799,-0.11199474,-0.12034953
28497.566,28.080433,16,347,9,189,-0.25367892,-0.72335565,-0.012208343
36017.277,16.79278,270,131,314,143,0.46051288,0.76474464,0.75535595
41163.473,7.5041876,58,18,33,2,0.4119798,0.7350488,0.033722997
37349.496,10.785156,68,319,180,256,-0.5101576,-0.79360974,0.005636573
48269.812,0.67547345,13,327,39,305,-1.2722385,-1.1325748,0.008720756
37498.777,11.370032,241,156,268,124,0.07707286,-0.11143708,-0.11750412
38100.418,10.908369,43,24,144,97,-0.39623523,-0.6864642,0.011742473
36249.4,13.01163,161,280,57,18,-0.3674631,-0.6786245,0.03577006
17449.012,50.247307,157,164,265,212,0.4518106,0.05699849,0.005696416
37878.043,10.931266,109,101,249,196,-0.36856782,-0.71202445,0.007987738
43304.098,3.943089,39,324,117,281,-0.85225034,-0.94523597,0.0061383247
33540.58,22.52102,274,158,333,172,0.43533707,0.80710375,0.81474245
41991.543,6.690837,5,20,139,4,0.3269558,0.79650795,0.017480016
20989.682,38.28671,190,235,3,279,0.7103729,0.25897396,0.26566374
40253.664,7.453334,57,127,272,294,-0.3570397,-1.5185728,0.019383073
38643.86,8.718524,165,261,344,324,-0.45711827,-0.78531325,-0.005541086
36596.01,15.629187,281,135,275,186,0.33613503,0.58386815,0.57335424
35142.69,20.03263,287,118,195,179,0.42201447,0.79848135,0.7989583
37958.652,9.600566,211,226,16,326,0.7992568,0.7369236,0.75495684
38267.402,10.768439,345,38,43,29,0.040471673,-0.18549585,-0.19631064
37526.062,11.606278,253,162,99,241,0.7198702,0.81446755,0.8152875
36467.12,15.352409,248,171,322,312,0.3211856,0.51069903,0.5153699
37952.13,10.792751,321,86,97,60,0.056301355,-0.13408029,-0.14511836
20995.213,38.273304,349,9,191,23,1.0159988,1.1984541,1.2005806
29408.947,26.087751,28,336,32,157,-0.3733281,-0.74919164,0.0003193617
37796.883,11.037417,327,103,47,55,0.06398022,-0.11656749,-0.11330879
40903.72,6.3893104,159,271,328,253,-0.5934243,-0.86021733,-0.0019692183
28939.871,27.473228,76,311,34,254,-0.96817374,-0.8804972,0.0027737617
27038.363,29.748524,100,286,66,233,-0.96809435,-0.93933594,-0.016776323
37342.664,12.770875,304,100,177,168,0.27457905,0.36285424,0.34739172
37730.754,11.226932,264,126,245,183,0.13440657,0.045355916,0.031350136
43364.53,3.745729,111,279,263,211,-0.82635224,-0.98121715,-0.005644083
38107.72,10.894077,299,51,75,74,0.19957137,0.15762138,0.15897763
25816.959,30.713217,207,239,346,317,0.698074,0.8200561,0.84718335
43446.0,3.9827828,19,326,55,248,-0.7847041,-0.8965398,0.0043689013
37951.535,10.884137,291,77,118,174,0.10989344,0.013649344,-0.000238657
37814.457,11.185099,301,144,92,109,0.04379511,-0.17107916,-0.16928995
39353.637,8.933183,44,49,102,145,-0.37596846,-1.1287858,0.008734584
37363.082,11.489952,90,47,308,271,0.28054345,0.5408876,-0.004851699
36117.59,17.85958,272,173,133,178,0.46294093,0.80820894,0.7974391
29738.701,25.60379,134,337,156,240,-0.4424609,-0.7395036,0.003682375
37938.652,10.459404,189,216,343,331,-0.18732786,-0.7351663,-0.058809042
41101.184,6.9468417,49,291,63,53,-0.62181413,-0.79894614,0.009456277
38843.957,9.59936,78,58,152,154,-0.38215768,-0.92168903,0.0012536049
29133.701,24.869543,192,268,349,346,0.1287986,-0.1333524,0.04414761
23547.95,33.87333,203,248,294,343,0.7196506,0.63158846,0.6534697
35319.023,14.166517,171,263,119,341,0.30156493,0.36027658,-0.0039463043
34533.82,21.229858,303,114,258,118,0.41743267,0.81012726,0.817469
37166.27,12.812506,230,202,287,288,0.2777928,0.33363068,0.33844233
37838.426,11.00238,290,108,107,113,0.06540334,-0.12285805,-0.12285447
14178.468,53.085052,56,76,91,128,0.03442669,-0.06020415,0.00089144707
35020.94,20.214619,317,154,112,160,0.42713976,0.80764866,0.81774294
38160.426,10.665113,333,40,121,134,0.120434284,-0.015205145,-0.03034687
37968.848,10.990336,280,110,234,126,0.16844487,0.13279891,0.11914134
12011.116,65.48336,179,191,244,21,0.85103214,-0.04970789,0.0007736683
37724.953,11.11739,259,163,182,167,0.14447701,0.073949695,0.06408775
35383.42,19.641731,293,95,210,68,0.4351617,0.80115426,0.8136234
41991.91,6.1407704,25,293,46,25,-0.6072761,-0.6508559,0.0065796375
37904.93,10.936365,273,143,116,202,0.120412946,0.03219688,0.031461
38426.695,10.87484,348,15,50,56,0.15884411,0.08148432,0.076089025
40819.84,7.283386,47,270,67,39,-0.5242926,-0.5858152,-0.00088095665
37831.883,10.472634,66,314,110,226,-0.45852852,-0.759331,0.0010207891
38466.906,10.6579075,315,42,167,38,0.17716897,0.18831599,0.17389226
25196.348,32.871227,254,183,199,50,0.76891744,0.9636636,0.96465945
40230.727,7.6691074,79,124,236,278,-0.36708915,-1.489753,0.008985043
31660.943,22.604902,227,233,280,321,0.51823354,0.74297297,0.76593006
38548.176,9.927825,147,180,295,309,-0.37013078,-0.9676459,0.0017470121
28672.217,27.074791,122,296,136,334,-0.72921,-0.76865184,0.005849719
43851.95,3.4810796,81,332,178,210,-0.87690985,-0.9311397,0.0047090054
30372.514,22.321232,186,276,162,35,-0.060927033,-0.36778212,0.09286475
41699.848,6.2445507,23,57,59,24,-0.40989196,-1.7584991,-0.0011969805
39032.938,9.773041,71,294,5,12,-0.4347781,-0.7420027,0.017437816
31989.05,20.150467,142,45,104,65,0.44775987,0.43240643,-0.003494978
40868.89,6.646744,102,309,240,293,-0.6134325,-0.8020011,0.0048903227
42444.465,4.778243,64,316,200,252,-0.78857625,-0.91497743,0.0044739246
38133.668,10.615677,188,63,27,58,-0.25750864,-0.53554296,-0.023727298
34066.055,16.53114,15,340,21,197,-0.36663854,-0.76689947,0.0011924505
37686.895,11.301361,249,159,160,247,0.10449016,-0.005801201,-0.020092607
42699.645,4.1792703,80,300,237,336,-0.8039001,-0.88292205,0.006842613
38744.336,9.150014,187,166,38,44,0.41731918,0.551265,0.04780221
39607.812,8.666568,77,146,209,147,-0.37032568,-1.2440889,0.014576316
39078.688,8.101296,247,150,19,61,0.95134616,0.9010215,0.8876059
38273.83,10.541413,91,39,127,135,-0.37078667,-0.756794,0.0050233603
43006.94,4.1464477,110,315,164,267,-0.8119228,-0.92079556,0.0030864477
36778.74,13.807486,239,196,168,209,0.59325266,0.7778084,0.78429794
37877.09,10.797684,123,121,311,236,-0.28277946,-0.44882822,0.0028463602
29379.2,27.765324,310,69,259,112,0.6263021,0.9356854,0.9231554
32001.227,18.739243,7,343,12,230,-0.40570736,-0.74512887,-0.010789394
37482.336,11.289932,244,185,224,251,0.07425201,-0.08588219,-0.08498728
36589.957,13.686873,228,212,273,333,0.59081423,0.7405602,0.75385666
39087.91,9.227,62,4,159,108,-0.07594752,0.028432012,0.005660653
24971.414,31.954185,213,223,331,228,0.7783593,0.93939686,0.9527377
25826.193,31.574787,4,306,2,136,-0.90586865,-0.8898467,0.0085834265
41128.49,6.4869804,74,267,170,64,-0.6429466,-0.8071612,0.0031284094
31739.795,19.30175,155,205,338,285,0.33901584,0.3402413,-0.01409471
38193.18,10.636344,67,89,122,129,-0.38316464,-0.71527493,0.018228292
39833.594,8.049928,94,133,262,276,-0.3599602,-1.392056,0.010765672
37665.176,11.108805,282,179,297,142,0.029485345,-0.20381165,-0.20095646
35567.098,14.686146,54,3,44,13,0.44993103,0.5918163,0.0053970814
32640.672,19.33241,182,274,190,31,-0.056420565,-0.2717811,0.091406465
37868.52,11.266255,311,138,103,79,0.05088091,-0.15406263,-0.16109765
