personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
36707.258,12.235941,474,566,754,637,0.75821066,0.7431418,0.71020126
27680.541,28.08037,204,273,252,341,0.44440103,0.27302718,-0.006793618
37972.215,10.470532,800,736,655,476,0.7799424,0.802307,0.8306577
38497.316,9.863146,920,339,487,135,0.82346237,0.8530743,0.8697189
27490.742,28.561161,68,141,37,144,0.44592214,0.2673807,-0.0068360567
27816.912,27.866188,114,107,177,232,0.45842588,0.28476214,0.001368165
27698.836,28.011065,315,366,366,389,0.43510556,0.2619356,-0.008928776
37316.254,10.972317,797,899,962,796,0.7646631,0.7526026,0.8211261
27437.61,28.396248,58,92,65,103,0.44096148,0.27542102,-0.009988308
38841.066,10.05563,931,420,474,109,0.6544689,0.68596566,0.6841086
27903.229,27.907486,51,59,68,149,0.47036588,0.29653835,-0.0007058382
38145.586,10.055092,912,538,563,616,0.8127135,0.8284297,0.8588078
38378.39,10.050163,746,609,559,506,0.79859495,0.82883775,0.8423511
38791.383,10.1869135,989,29,30,11,-0.06492674,-1.1558168,-1.1875257
37909.258,10.487089,582,823,672,843,0.7693112,0.7701887,0.7950586
37540.473,10.827146,790,856,894,912,0.7833365,0.78877676,0.82747066
37125.297,11.939351,488,984,895,955,0.7329788,0.69910634,0.7143767
27704.799,28.0945,99,112,73,228,0.4581926,0.28495705,0.001040101
27557.69,28.370892,148,240,159,242,0.43664062,0.2677784,-0.009203553
38071.094,10.299748,765,734,576,763,0.7897793,0.7973342,0.822549
38247.95,10.495015,833,570,738,633,0.7438916,0.78038585,0.7867991
37740.9,10.590342,708,706,590,810,0.7937242,0.79456973,0.8280901
38445.04,10.105648,728,700,630,551,0.7971693,0.8063096,0.82859325
8150.98,72.02237,456,6,5,30,0.8099153,0.9680052,0.9432664
27850.285,28.111706,205,227,222,353,0.4490024,0.27823985,0.0028204918
36978.027,11.540075,552,1000,981,887,0.71372545,0.7139299,0.7788435
27755.209,28.055754,188,383,119,261,0.455415,0.27031004,-0.0009396076
37602.08,10.833663,608,770,757,605,0.78753746,0.7737714,0.82010496
27548.053,28.484432,59,79,127,100,0.46211946,0.2809441,0.002563119
27830.543,27.972654,37,68,106,178,0.46729434,0.291561,-0.0031917095
27723.707,27.987234,364,425,319,321,0.4374863,0.2535826,-0.0017623901
38400.14,10.235716,732,668,575,574,0.8006333,0.81082237,0.83179855
22512.219,36.585365,399,843,446,957,0.24931133,0.089977264,-0.009657502
30140.717,22.93368,426,1003,971,980,0.13798583,-0.3388666,-0.4075817
37264.953,11.095547,618,972,970,799,0.72868323,0.72873604,0.7828982
27750.174,27.942585,354,445,265,514,0.44000447,0.26187575,-0.00016629696
27761.363,28.216625,304,278,372,258,0.43606722,0.26610005,-0.0054991245
27448.941,28.318815,273,337,445,211,0.43056333,0.2579913,-0.010129571
37541.5,10.797555,606,900,861,803,0.7577206,0.7530416,0.7990581
30736.244,22.278444,417,664,600,863,0.58587945,0.44094133,0.26562357
23065.682,36.063744,400,772,579,891,0.27277112,0.118842125,0.0044640303
37578.414,10.870935,930,730,888,517,0.792482,0.80426323,0.8588873
27783.312,28.036062,258,231,208,271,0.44702053,0.27964282,0.0010648966
38256.59,10.238859,718,743,596,627,0.7779738,0.79106593,0.8143424
29627.818,23.058563,428,437,468,886,0.63594747,0.5606867,0.4414407
27974.389,27.690025,318,424,373,593,0.4458785,0.2661023,-0.0011684895
36965.613,11.732455,538,971,969,926,0.7501254,0.7192162,0.7934121
37800.625,10.594712,757,713,657,690,0.790058,0.79870653,0.82140696
35536.523,13.766543,491,829,928,972,0.7615371,0.76493907,0.78741086
38053.023,10.515045,590,763,558,628,0.7736139,0.7756671,0.79702985
24550.58,32.538643,990,446,459,613,0.8972459,1.1387091,1.1245179
27670.127,28.141066,154,158,183,177,0.45261025,0.27944338,0.00010573864
23741.867,34.192955,382,481,448,740,0.30858207,0.15288174,-0.0013228655
37669.12,10.53175,807,807,846,710,0.76928973,0.77313447,0.8180282
27862.688,27.848425,371,490,394,618,0.43875802,0.2580459,-0.0032030344
27818.148,27.804104,319,373,329,545,0.4427433,0.26561058,-0.002495408
37693.633,10.690975,572,895,832,858,0.752195,0.75082254,0.7874861
27744.408,28.010227,239,332,305,443,0.4450003,0.27564943,-0.0033937693
27667.031,28.291801,14,32,36,80,0.47594714,0.30519485,0.001952529
38167.855,10.488064,806,701,640,431,0.7930579,0.8049836,0.82636285
38244.83,10.225536,768,647,557,580,0.8022717,0.81964755,0.8343705
35938.63,13.160188,464,69,380,51,0.80563045,0.79492116,0.69192755
27484.594,26.1829,460,290,561,808,0.7095107,0.7564347,0.7184547
21810.146,39.953026,987,507,53,602,0.93858874,1.2106366,1.1577306
38010.203,10.515154,654,646,528,602,0.78759015,0.78717935,0.81920683
27630.277,28.159311,150,157,165,240,0.4489764,0.2805239,0.0015259981
38100.258,10.355186,814,557,524,555,0.82133186,0.83817124,0.856308
37998.27,10.160158,888,588,643,656,0.8080511,0.8243545,0.8630662
37750.67,10.714613,624,825,696,697,0.77985954,0.78339195,0.80425394
38194.29,10.456068,505,851,774,674,0.77540255,0.78370106,0.7978711
38894.64,10.066429,994,25,26,14,0.01390183,-0.256945,-0.30110073
27752.94,27.605633,373,95,56,131,0.50065386,0.34238732,0.0624758
27653.402,28.140873,96,136,149,167,0.45179725,0.2802658,-0.0006791353
27757.232,28.033361,108,144,117,256,0.4587747,0.285115,0.0028802156
38430.97,10.235766,856,608,483,412,0.8252722,0.8315183,0.85566413
27250.305,28.838562,28,52,41,81,0.45303953,0.28602695,0.0010311604
27663.62,28.37218,63,105,103,170,0.45656943,0.28899884,-0.0024288893
36144.242,12.626269,899,495,491,251,0.8300357,0.8816464,0.90023255
27621.875,28.352087,34,91,44,137,0.46452117,0.28366625,-0.0022643805
27848.62,27.856306,252,333,610,329,0.41769135,0.24233449,-0.018764973
34513.61,14.82475,452,18,14,19,0.8178084,0.8212255,0.6538645
37303.066,11.094337,544,982,961,943,0.7329501,0.72157705,0.76805675
