personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
13086,52.605026,0,0.0,0.0,0.0,0.07884812,-0.05301571,0.021516323
28114,24.543814,1,0.0,0.0,0.0,0.6872436,0.66929245,0.7013688
38579,9.604804,1,0.0,0.0,0.0,0.80415344,0.8838781,0.87537074
15129,48.70212,0,0.0,0.0,0.0,0.06680095,-0.04281032,0.0082935095
19470,43.902847,1,0.0,0.0,0.0,1.2177002,1.6559317,1.5474262
40848,7.322109,0,0.0,0.0,0.0,0.27406943,0.7251344,-0.02542758
38101,11.655532,1,0.0,0.0,0.0,-0.024564028,-0.40727425,-0.41109562
39397,8.78444,1,0.0,0.0,0.0,0.80859053,0.8846675,0.8549328
38934,9.203446,1,0.0,0.0,0.0,0.7309561,0.7933028,0.77394044
38263,9.913498,1,0.0,0.0,0.0,0.74851406,0.7879156,0.7704096
23115,35.405388,0,0.0,0.0,0.0,0.3541336,0.17463982,0.017439127
22585,35.850044,0,0.0,0.0,0.0,0.30756795,0.1474495,0.008214116
39224,8.427308,1,0.0,0.0,0.0,0.8178985,0.92653227,0.8827785
38358,11.289713,1,0.0,0.0,0.0,0.081397295,-0.06681073,-0.113974094
40610,7.8770742,0,0.0,0.0,0.0,0.3695544,0.70263505,0.1488998
28179,27.98565,0,0.0,0.0,0.0,0.6050323,0.46328616,0.03103888
37965,10.269185,1,0.0,0.0,0.0,0.4758811,0.5109987,0.49887264
32016,18.7814,0,0.0,0.0,0.0,0.36621594,0.39484656,-0.0069720745
40301,9.586617,1,0.0,0.0,0.0,0.008433819,-1.5300078,-1.5163329
38648,9.923487,1,0.0,0.0,0.0,0.47956812,0.4987961,0.47757447
40459,7.4642973,0,0.0,0.0,0.0,0.29032612,0.72494686,-0.03783846
39672,8.620864,0,0.0,0.0,0.0,0.22683048,0.6008376,-0.0012888908
39963,8.608858,0,0.0,0.0,0.0,0.30834293,0.6896763,-0.00044965744
32754,18.753084,0,0.0,0.0,0.0,0.43522608,0.5036062,0.014591455
24538,33.362747,0,0.0,0.0,0.0,0.42543316,0.25919545,0.013286591
37049,11.376017,1,0.0,0.0,0.0,0.6817436,0.7300204,0.7295476
24535,30.835484,1,0.0,0.0,0.0,0.5259098,0.51075685,0.58649254
29060,23.128117,1,0.0,0.0,0.0,0.70569956,0.8238275,0.85512793
39342,8.780148,1,0.0,0.0,0.0,0.7933489,0.8826567,0.83308876
12852,53.532017,0,0.0,0.0,0.0,0.06470525,-0.04435122,0.03651762
13337,52.91141,0,0.0,0.0,0.0,0.025633693,-0.062294483,0.013105273
38787,9.637724,1,0.0,0.0,0.0,0.40896022,0.43047535,0.3882866
39066,9.218934,1,0.0,0.0,0.0,0.7965958,0.8425251,0.8248092
25004,32.102688,0,0.0,0.0,0.0,0.4152639,0.23464477,0.0076286793
38240,9.99851,1,0.0,0.0,0.0,0.73543096,0.7737924,0.75287914
40242,8.202889,0,0.0,0.0,0.0,0.2693956,0.65436244,-0.0016281605
19685,39.385834,0,0.0,0.0,0.0,0.30770898,0.2456876,0.28513575
39166,8.841588,1,0.0,0.0,0.0,0.8416376,0.90924156,0.89008665
37968,10.502933,1,0.0,0.0,0.0,0.3592199,0.3693471,0.36080122
30837,21.621696,0,0.0,0.0,0.0,0.4467889,0.4113015,0.006607175
39982,9.224438,1,0.0,0.0,0.0,0.48820758,0.5112456,0.413772
38158,10.319491,1,0.0,0.0,0.0,0.34080648,0.33334184,0.32649338
39120,9.209667,0,0.0,0.0,0.0,0.26807833,0.6129081,0.009080172
36256,13.138019,0,0.0,0.0,0.0,0.37067056,0.57307005,0.020019054
33265,15.7776985,1,0.0,0.0,0.0,0.72952485,0.85995567,0.85569024
39421,8.889257,1,0.0,0.0,0.0,0.77412343,0.8468319,0.81697273
38828,9.82536,1,0.0,0.0,0.0,0.78183925,0.8157902,0.8226409
40238,7.7644978,0,0.0,0.0,0.0,0.25958645,0.68580544,-0.004057884
