personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
25823.482,31.951385,228,76,182,210,0.77905047,1.0426095,1.0372479
39205.938,9.961469,56,267,335,187,-0.51648855,-0.85657287,-0.0072951317
29121.293,28.192219,279,289,64,22,-0.6453501,-1.1623268,-1.1528933
36374.36,17.682985,313,105,278,132,0.52944565,0.89304125,0.8777236
20544.78,44.032726,376,382,371,197,-1.0963871,-1.0654058,-1.0312729
35696.508,19.65846,268,104,270,232,0.44359362,0.8380734,0.8450147
38285.465,10.691977,258,34,244,61,0.16569507,0.08326626,0.08839309
37970.12,10.690861,157,87,329,131,0.68517375,0.67734826,0.6842822
26338.1,33.21463,154,53,123,71,0.5506401,0.75736225,0.72921383
29570.445,26.32519,95,243,238,68,-0.28208065,-0.7445371,0.01275444
41215.875,6.9691806,66,172,258,170,-0.6227088,-0.82312095,0.007462859
26162.201,33.09167,305,274,104,163,-0.8027853,-1.0626221,-1.0692103
40382.36,8.714077,80,306,382,94,-0.50042105,-0.7272605,-0.00092720985
30029.549,25.397276,107,213,173,233,-0.29091668,-0.7450881,0.0167315
23323.05,36.864918,272,95,162,360,0.87311983,1.1705651,1.1245534
38016.074,11.289073,269,121,316,41,0.17184222,0.10451901,0.108400345
25361.172,33.084404,175,179,150,286,-0.79070425,-0.9448513,-0.91585684
29752.86,26.26954,100,269,200,70,-0.28323483,-0.73573184,0.011713028
28349.262,29.99806,130,19,25,377,0.5183153,0.5409224,0.19016373
38064.35,11.347805,134,151,336,366,0.122484446,0.25459647,0.24294055
37385.312,11.850104,155,79,169,202,-0.016308188,-0.14895141,-0.08368969
25236.41,34.450386,312,299,131,42,-0.90003884,-1.1547298,-1.1326962
37975.47,11.201171,213,52,147,52,0.13989508,-0.015052795,-0.015144229
37474.594,12.357019,185,17,109,271,0.22142923,0.272972,0.28001785
20193.883,43.785885,331,303,51,255,-1.0632005,-1.2666731,-1.2299745
25233.527,34.596798,338,322,216,169,-0.8844749,-0.8968586,-0.8959385
15684.215,50.316887,115,132,76,265,0.05459726,-0.06127107,-0.0008673668
18971.54,45.401936,296,226,94,285,-1.0831823,-1.2705362,-1.240943
22604.84,36.96021,119,2,3,379,0.44798052,0.49308646,0.022489905
18695.834,46.808945,340,334,81,262,-1.1408818,-1.3268754,-1.2748904
22530.133,39.3029,263,225,40,270,-0.9840814,-1.1885669,-1.148901
41447.766,6.9962544,84,301,313,54,-0.6003313,-0.92231584,0.009386182
28170.7,30.107927,147,9,23,374,0.5255593,0.6544105,0.47552526
31852.117,25.069187,208,56,68,292,0.552639,0.89941466,0.90526056
21511.78,37.58352,108,6,5,380,0.4915228,0.6328347,-0.02769804
27226.078,31.098305,137,296,183,363,-0.43790364,-0.55909896,-0.15334105
29406.635,26.731073,82,302,303,172,-0.28467393,-0.78080523,0.027896285
47774.457,1.151042,1,376,372,369,-1.2271657,-1.1471803,-0.006271839
25692.934,33.932354,278,252,57,114,-0.82711077,-1.1616514,-1.1415923
26601.424,32.169304,306,281,108,130,-0.76284564,-1.202656,-1.2148788
38825.54,10.451524,114,165,379,318,-0.34400916,-0.45530844,-0.0013439655
27250.246,30.937483,322,330,92,89,-0.76535714,-1.1725206,-1.1783082
25846.709,33.14863,323,257,180,109,-0.8328445,-0.89219224,-0.88945544
22600.219,39.61134,362,343,50,173,-1.0511775,-1.2483997,-1.2121775
25111.363,33.836674,161,171,102,264,-0.6600797,-1.019525,-1.0042262
19344.768,45.195614,345,350,38,299,-1.1235423,-1.3490307,-1.3161669
29770.156,27.971617,361,345,12,66,-0.63188124,-1.280863,-1.289597
46694.215,1.7334397,2,365,332,364,-1.1382556,-1.1048911,-0.005847335
37727.543,11.424306,210,84,291,149,0.13719022,0.008308172,0.021438003
29699.71,26.96522,89,344,282,220,-0.2945844,-0.75552225,0.01742065
29097.133,28.599735,329,352,58,25,-0.6485021,-1.1317675,-1.1374688
20786.703,42.937477,347,328,207,273,-1.0657122,-1.1828289,-1.1473184
35304.63,19.746574,201,28,157,133,0.45457292,0.8304417,0.8321314
38137.703,10.860949,156,26,120,276,-0.011476636,-0.14445138,-0.055981994
24472.883,36.473778,328,349,62,136,-0.917951,-1.2371993,-1.206404
39786.562,8.579168,14,15,263,365,-0.43212056,-1.0790086,0.012448192
35605.36,21.730831,371,103,380,355,0.52161527,1.0114424,0.98072636
44850.21,3.0805268,3,178,359,372,-0.97362113,-0.950997,-0.011313319
37727.56,11.708118,189,63,233,40,0.16964293,0.11991608,0.11945772
25697.209,33.20431,255,224,141,141,-0.84640384,-0.9772402,-0.9618188
29500.686,26.473812,167,96,145,342,0.6059098,0.86654115,0.8590865
37867.03,11.120288,202,80,271,199,0.112159014,-0.08107388,-0.07012248
38192.773,11.447503,273,92,191,122,0.20055115,0.18027234,0.1797316
26170.65,32.957874,204,256,163,214,-0.7318126,-0.7086941,-0.6869223
19419.701,45.000916,348,327,80,303,-1.1039462,-1.3180938,-1.2819498
32737.305,24.424942,235,68,245,165,0.5236764,0.91007805,0.90439343
42894.156,4.7263813,25,188,264,314,-0.7965019,-0.93721986,-0.0011065006
24369.643,35.156067,357,363,360,189,-0.86265886,-0.7642561,-0.7466632
26306.506,32.218735,135,3,11,376,0.5230931,0.5509026,0.31348026
39352.11,9.525594,72,291,342,36,-0.50779796,-0.8698907,-0.00030493736
38207.66,10.66286,206,25,89,56,0.028832793,-0.297544,-0.28594065
29016.627,28.408583,103,348,260,215,-0.2784655,-0.7443359,0.02611804
46004.91,2.1597655,6,307,378,259,-1.0717945,-1.0688868,-0.0048805475
24950.678,34.243305,325,337,294,154,-0.8654189,-0.82158124,-0.7908455
27803.559,30.44847,300,285,165,35,-0.70417,-1.1190948,-1.127594
42885.02,5.0034575,26,161,362,337,-0.77650595,-0.8685156,-0.005444169
41771.477,6.2103405,62,173,369,161,-0.67407024,-0.8590052,0.0053031445
18264.37,46.928493,326,244,148,267,-1.121237,-1.303617,-1.2679598
15214.927,53.4542,373,367,168,237,-1.2256193,-1.3928208,-1.3527372
25242.96,34.553925,311,297,119,37,-0.9041753,-1.1821308,-1.1537089
36014.25,18.749683,297,114,272,251,0.48769188,0.88240457,0.86815774
26306.121,32.687088,281,266,106,95,-0.8616253,-1.1122816,-1.081311
38766.656,10.466683,52,112,184,166,-0.4223615,-0.66216326,0.0037047863
22168.56,37.962265,240,20,225,288,0.89675474,1.178853,1.1313906
41796.863,6.116093,73,253,348,142,-0.6733129,-0.911126,0.00542295
29777.479,26.328196,77,340,226,335,-0.3093369,-0.8103448,0.033128858
35851.227,14.611068,117,208,164,272,-0.45467556,-0.77384174,-0.026514173
36691.285,15.006678,172,45,251,26,0.30697405,0.48153412,0.4926598
31218.307,26.561855,218,69,215,137,0.6029345,0.94285405,0.9457649
12580.623,60.29588,384,384,91,328,-1.3727038,-1.555635,-1.50019
23302.102,37.391945,259,236,72,218,-0.94641566,-1.1080167,-1.0868282
26177.453,31.764118,148,1,4,371,0.55824196,0.66060376,0.54987824
45664.58,2.3197515,21,276,344,304,-1.037853,-1.0406144,-0.004515171
28803.621,27.736298,123,0,239,31,0.4100088,0.2222277,-0.008443952
22562.152,38.756264,234,197,32,311,-0.97599006,-1.1439657,-1.1051943
36177.824,15.34609,274,147,117,16,-0.13297832,-1.256144,-1.2624776
28618.283,29.527115,243,51,98,284,0.7061697,1.0025513,1.0031214
23516.736,35.997517,160,168,107,302,-0.72621775,-1.0036473,-0.9680579
38219.61,11.132481,248,57,254,84,0.106773496,-0.12124586,-0.13773215
39553.17,8.826287,8,5,302,317,-0.42585766,-1.028533,0.012671351
19709.566,43.28066,136,152,159,226,-0.3332852,-0.4949957,-0.43572748
32166.223,23.807543,369,199,9,19,-0.33578706,-1.2959199,-1.311341
38542.99,11.268862,122,162,384,351,-0.13522398,0.00553751,0.044676065
39053.2,9.949764,4,35,385,316,-0.38902795,-0.9632125,0.011571765
38885.617,11.122987,128,167,361,348,-0.21538651,-0.25722253,0.075405
29093.918,28.5912,342,259,36,29,-0.59652054,-1.1816826,-1.2092838
38174.223,10.583732,260,42,193,168,0.21711636,0.16869092,0.17749643
35965.906,17.985668,195,59,267,108,0.44478583,0.77732563,0.7957686
17726.543,48.506947,349,333,111,203,-1.1500657,-1.3192558,-1.2807724
39242.99,9.245218,23,129,189,296,-0.3825208,-1.047023,0.0043798685
38093.023,11.333545,231,113,174,112,0.18606329,0.16366863,0.17277384
42114.902,5.7922597,42,196,275,208,-0.6898931,-0.9187752,0.009013653
44663.613,3.264463,37,231,354,206,-0.9294145,-0.996338,0.0016545057
29643.127,26.47774,97,319,185,301,-0.30305576,-0.787158,0.028979301
42072.074,5.850249,57,229,249,250,-0.6878444,-0.930539,0.002534151
22959.879,37.297585,310,298,136,330,-0.9757043,-1.2044327,-1.1892574
45373.29,2.586801,17,283,308,357,-1.0130699,-1.0318799,-0.0049569607
39616.77,10.46418,112,331,388,331,-0.28075445,-0.17182899,-0.018789649
37911.598,10.972617,173,98,346,20,0.21673965,0.1474148,0.16500568
25462.582,33.62235,282,263,54,146,-0.87163794,-1.1360836,-1.1184921
30505.684,26.978336,379,379,20,4,-0.47701836,-1.3438339,-1.3784966
26130.174,33.050426,286,262,46,151,-0.8482833,-1.2088468,-1.1952069
36423.04,14.447954,141,146,2,344,-0.38178205,-0.65959144,-0.3512727
40793.133,7.501424,55,190,171,201,-0.5829623,-0.87329984,0.005676508
38214.055,10.839004,217,16,257,223,0.11642182,-0.040391922,-0.050221205
29419.977,26.777208,113,207,179,227,-0.28521204,-0.72368896,0.0053055286
32392.896,23.780632,385,204,8,43,-0.3558433,-1.3740292,-1.4101253
37644.188,11.874697,181,102,277,82,0.15778637,0.1137023,0.11773729
30539.004,24.135973,111,277,126,135,-0.3018962,-0.7565776,0.0034247637
42298.65,6.226372,41,369,353,356,-0.6803906,-0.94421256,0.0032849312
27030.314,30.986835,276,233,125,65,-0.775143,-0.96817815,-0.963758
13831.086,55.562714,116,100,6,375,0.07038081,-0.020310163,0.009320974
29942.744,26.009659,74,342,138,291,-0.31717515,-0.8096101,0.027636051
29960.654,25.511286,79,308,180,245,-0.30949986,-0.80801225,0.022779465
19172.607,45.54065,270,227,101,324,-1.0671709,-1.2279761,-1.1844792
29918.033,25.578213,88,247,181,277,-0.296067,-0.78195286,0.022284627
25368.367,32.660152,60,158,241,11,-0.09536517,-0.50358355,0.017414331
48070.426,1.4036703,11,385,387,367,-1.1592643,-1.1344616,0.0011622906
23630.418,35.38464,191,21,290,103,0.8479494,1.096772,1.0677445
30081.738,25.889492,254,174,10,117,-0.56202054,-1.1344562,-1.1466405
20791.633,41.94082,309,292,52,282,-1.0624661,-1.2813213,-1.2626371
38095.953,10.706117,198,74,149,58,0.18471456,0.069749,0.07475388
38456.613,11.080777,146,143,151,274,-0.16843164,-0.25917184,-0.018054366
37819.812,10.98625,150,138,356,124,0.36108077,0.41100097,0.35758555
21386.441,40.887573,242,198,17,333,-1.0009053,-1.2210817,-1.1954923
45303.09,2.6436946,19,284,357,239,-1.0099633,-1.0271149,-0.0040775537
