personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
53790.402,-0.42249238,30,524,33,122,-1.6231945,-1.5355613,0.19204187
30292.178,22.551655,303,276,403,442,-0.3397168,-0.7663108,-0.75485706
42132.312,3.5416794,397,75,512,303,-0.89902365,-0.8946737,-0.8874252
38566.73,8.172655,134,162,264,312,-0.5374212,-0.58312,0.0046975613
21840.305,41.36232,286,323,298,329,-0.14844847,0.046072006,0.32334685
21404.94,42.14107,236,188,210,279,0.024888635,0.15624702,0.27669024
43183.203,3.9424253,137,417,245,364,-0.7961674,-0.7518816,0.08244741
42641.15,4.1013865,152,394,358,411,-0.7389482,-0.7548168,0.08852124
39189.68,8.121898,183,365,374,485,-0.44469082,-0.46333766,0.027987123
38993.285,8.194538,197,353,389,504,-0.45465887,-0.49061835,0.00807476
42852.586,3.9641037,60,141,80,142,-0.88830125,-0.9787353,0.001680851
49269.594,0.6266614,55,303,56,150,-1.3813088,-1.4133086,0.10344553
57272.004,-0.8329319,12,549,4,52,-1.7534263,-1.661164,0.23449397
29386.668,23.518213,233,372,370,513,-0.24528646,-0.15640557,0.047973752
38258.574,9.085891,181,205,386,456,-0.44532025,-0.4552436,0.023027897
28698.604,25.525677,86,157,229,400,-0.00701499,0.035028815,-0.021996975
17381.215,53.390438,2,27,11,48,0.48012924,0.29658866,-0.21928108
40402.477,6.5075083,175,351,342,453,-0.5798254,-0.5571486,0.051447272
32156.39,15.49737,279,142,478,470,-0.4594183,-0.4291159,-0.22911215
42711.895,4.284407,141,424,256,381,-0.75951135,-0.71147025,0.07912433
22798.336,38.643414,198,155,201,287,0.13455093,0.1677326,0.11329162
20123.479,45.40816,116,116,140,166,0.26784396,0.21177578,0.04769647
29823.48,24.470741,369,396,283,255,-0.4959054,-0.9409338,-0.98109484
53985.21,-0.7393459,548,16,-1,23,-1.7758601,-1.617912,-1.7953835
25346.516,32.730507,230,189,321,357,0.014318943,0.07983649,0.15831935
30602.291,23.566277,414,388,231,183,-0.48363686,-1.0936882,-1.1604874
36340.395,11.776608,205,354,439,514,-0.29620147,-0.3137673,-0.007731557
30360.424,22.479624,337,302,313,415,-0.3813088,-0.84677875,-0.83292353
55740.266,-1.0086684,554,9,-1,18,-1.9625354,-1.7918468,-1.8960476
43376.375,4.0855503,118,447,218,326,-0.71597326,-0.7294661,0.07925999
41747.227,5.086665,147,208,253,370,-0.73297143,-0.7519766,0.03021574
60636.13,-1.58569,563,1,-1,1,-2.3160422,-2.0634909,-2.3283865
30047.828,23.252094,179,164,357,444,0.047073007,0.024046183,-0.04418409
32446.23,20.942055,487,358,117,78,-0.42500877,-1.4416375,-1.54234
27093.95,31.416466,489,541,45,75,-0.8023628,-1.1004283,-1.1746402
38973.484,7.874899,93,186,246,385,-0.5508628,-0.47136056,0.03046906
31150.703,25.529198,513,520,65,38,-0.7127819,-1.6019001,-1.7799911
34257.453,15.277706,206,332,414,511,-0.20497286,-0.1717689,0.021232367
29342.248,23.226624,267,254,444,545,-0.3090551,-0.47832918,-0.35746193
47024.387,1.5620806,92,465,130,261,-1.1059718,-1.040823,0.11967814
27994.102,26.469543,26,71,144,185,0.14310253,0.051386476,-0.14822292
31226.21,20.64229,312,220,387,492,-0.2566458,-0.8144698,-0.79120517
32321.982,20.875544,479,335,133,110,-0.41212356,-1.3803751,-1.4748895
51754.26,-0.1646986,27,505,68,207,-1.4900389,-1.4385691,0.21554637
51034.926,-0.20670843,536,23,-1,41,-1.56183,-1.4338441,-1.5692241
30358.248,23.23715,363,338,293,304,-0.44079244,-0.9591104,-0.98512006
23927.908,35.984165,182,154,215,317,0.13027298,0.14616632,0.07043505
42213.59,4.8921695,146,416,268,362,-0.69906986,-0.6767863,0.08600187
53102.53,-0.24299681,37,519,53,109,-1.4541297,-1.4603229,0.18005395
18895.947,49.84175,375,383,227,232,-0.18619335,0.09564257,0.44094932
15384.476,63.050423,496,526,125,125,-0.37076616,0.09720707,0.5340556
30888.525,22.570139,393,349,216,245,-0.45810044,-1.090555,-1.1389813
32091.455,20.123234,431,265,259,219,-0.31023145,-1.1365812,-1.1241386
33034.605,16.84595,244,229,445,558,-0.25371015,-0.4577955,-0.2751361
31397.63,21.65711,413,309,254,213,-0.37739408,-1.0996745,-1.149899
16252.753,58.075203,4,45,8,63,0.44659066,0.34656763,-0.15697038
25566.863,34.22,456,535,116,141,-0.711324,-0.74735534,-0.7480092
30742.6,22.14189,345,289,320,366,-0.37850988,-0.9181509,-0.92848134
40262.156,5.0653744,331,92,502,436,-0.7911924,-0.7944927,-0.7349601
32467.273,16.056265,257,171,469,560,-0.30759764,-0.3956958,-0.25176167
47520.69,1.4285457,80,478,113,196,-1.1215723,-1.080029,0.12490189
32212.055,23.46158,519,492,46,30,-0.6527668,-1.7556255,-1.9353552
51074.645,-0.25912166,538,22,-1,34,-1.6162312,-1.4618747,-1.6147704
31193.654,20.407053,293,211,408,522,-0.2568717,-0.77954865,-0.74104583
29621.281,23.115742,269,275,429,531,-0.32472277,-0.5892134,-0.5406419
48269.78,0.98248684,57,272,66,134,-1.311079,-1.3489759,0.10930908
18748.361,48.956505,274,222,206,220,-0.030553937,0.1762209,0.46988583
44189.887,3.2005591,155,352,300,328,-0.81411695,-0.93744755,0.019080043
23160.572,37.91776,332,378,340,397,-0.23613644,-0.053438902,0.2264986
20329.61,45.133556,209,146,165,175,0.18911624,0.22739577,0.20549202
30522.533,25.667904,483,502,104,65,-0.6745223,-1.3980184,-1.540499
41200.652,4.4250665,245,152,481,457,-0.8172209,-0.850265,-0.3643484
21679.309,40.13978,42,86,138,176,0.28249764,0.12277126,-0.10778642
22278.02,39.909004,392,404,249,334,-0.25999045,-0.056639552,0.29905176
21293.592,41.190437,242,168,255,296,0.065763354,0.11437178,0.28645062
37142.453,10.612392,144,177,326,423,-0.34087777,-0.324471,-0.020432949
29404.18,26.506842,459,507,107,111,-0.67488337,-1.2131011,-1.3050609
30999.963,20.95367,263,232,410,543,-0.2659843,-0.6353215,-0.5709168
31638.04,22.309008,451,380,149,139,-0.49317753,-1.3152969,-1.4077659
43264.95,3.89328,133,410,236,320,-0.825444,-0.798756,0.08565819
31110.096,21.358952,342,252,336,386,-0.31794107,-0.90437186,-0.910583
48381.45,0.91789377,67,445,83,234,-1.2501905,-1.1978667,0.1280731
