personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
25350.547,32.302563,260,225,112,425,0.38278532,0.20432591,-0.008537769
41280.863,6.585841,395,410,425,239,-0.6495483,-0.87190104,-0.0010910034
40783.87,7.287755,289,497,257,286,-0.60451627,-0.85331535,-0.0043582916
39066.484,10.446462,315,466,367,307,-0.2079798,-0.036219478,-0.02053988
37923.535,11.149544,181,105,146,326,-0.3849306,-0.6834742,-0.0020034313
38980.79,10.448094,336,440,464,456,-0.20711374,-0.04511547,-0.017584324
38173.44,10.805317,97,55,110,176,-0.39889026,-0.69928384,-0.0018472672
36605.297,12.668165,596,219,635,640,-0.00404799,-0.16861975,-0.08629644
44122.7,3.3403192,501,355,622,237,-0.9121096,-0.93274605,-0.013491392
38609.28,9.637679,573,304,649,633,0.20587265,0.5253359,-0.018042207
39822.74,9.265598,85,576,96,87,-0.5090122,-0.84193397,0.00066912174
43902.996,3.8793507,146,483,494,100,-0.8564054,-0.9571563,-0.0020291805
39400.99,9.375789,399,581,153,50,-0.46644104,-0.74182796,-0.0041564703
40548.8,7.7348576,155,543,143,150,-0.5830467,-0.8576838,-0.003599763
44028.01,3.3630729,469,386,578,411,-0.89950037,-0.9248129,-0.010865688
38835.195,10.426179,466,447,378,323,-0.2189765,-0.044111848,-0.0027406216
26210.021,30.890318,94,80,134,271,0.40662026,0.21574986,-0.009227991
13865.213,51.90594,33,18,45,201,0.093418,-0.046373963,0.0022374392
39080.64,9.973032,499,414,552,269,-0.36771595,-0.43300998,-0.028578758
37013.45,11.819915,618,278,632,620,0.72062576,0.7591976,0.7701714
23032.049,35.307373,582,189,263,309,0.34566593,0.22588551,0.13669741
36938.652,11.994099,500,240,374,168,-0.29764557,-0.589041,-0.019136786
36769.91,12.240532,644,73,58,587,0.13805723,0.068112016,0.029517055
17485.436,43.56643,565,303,616,589,0.058939934,-0.08358121,-0.010136843
29639.012,24.362555,275,134,182,366,0.3924644,0.25235415,-0.014322996
39272.69,9.91034,412,459,532,473,-0.20679712,-0.026404142,-0.010391235
47891.086,1.2427862,4,649,188,3,-1.1885924,-1.1451373,-0.0012449026
40683.69,7.384701,27,48,356,109,0.32338166,0.79081976,0.0111705065
40072.074,8.492944,133,557,126,83,-0.54846084,-0.86105704,-0.004834056
44308.242,3.3535652,245,478,548,136,-0.9086784,-0.956908,-0.008928537
24607.613,33.14179,115,63,60,258,0.38292122,0.20552742,-0.00050377846
38959.08,10.429529,356,445,481,461,-0.2073003,-0.04210329,-0.017545223
41093.477,8.556918,1,653,37,8,-0.22560835,-0.0468657,-0.016836762
44078.508,3.3385339,461,389,590,275,-0.9057747,-0.9282613,-0.012699485
33879.59,16.243368,587,252,633,590,0.48213518,0.53031147,0.22617352
40259.12,8.313789,57,622,63,48,-0.5593854,-0.8929658,-0.0008956194
39510.34,8.807473,252,272,565,558,0.24016035,0.6307479,-0.031615615
22492.21,36.829796,239,223,207,453,0.28365505,0.11511326,-0.013863802
37868.27,11.287889,165,43,141,285,-0.36286616,-0.6650659,-0.00898695
37455.004,11.780174,634,233,426,619,0.43908226,0.44671488,0.42929518
39044.617,10.455402,330,468,318,331,-0.20859575,-0.03137088,-0.016448021
41401.285,6.8346853,145,419,415,120,-0.6422683,-0.8878753,-0.0091023445
39261.727,10.091589,161,560,261,220,-0.22698319,-0.034668088,-0.010761857
39621.816,9.427201,163,602,189,37,-0.46994126,-0.71408784,-0.013481259
37894.87,11.243564,211,88,140,296,-0.3739711,-0.6716485,-0.0036782026
36502.93,12.810427,413,136,398,434,-0.28538013,-0.5604243,0.0034376383
39200.656,10.12416,179,531,340,344,-0.23545825,-0.04960358,-0.010045648
37829.887,11.374192,121,40,148,195,-0.35770535,-0.6660539,-0.0097100735
36908.65,12.214899,606,255,568,636,0.06995082,-0.035476327,-0.011529565
38982.18,10.062173,462,334,354,381,-0.47991967,-0.7908404,0.006735921
42299.26,5.1858115,423,370,594,213,-0.75495636,-0.900862,-0.016241431
39752.4,8.623767,514,363,525,329,-0.51761377,-0.7518474,-0.014854908
36679.297,12.299643,546,285,604,586,0.28898287,0.53012335,-0.009073257
25784.799,31.557854,110,179,215,521,0.38211071,0.2124896,-0.023189068
40906.273,7.1524925,287,496,293,218,-0.6165507,-0.87317026,-0.0035766363
14401.116,50.85433,63,51,111,351,0.08936286,-0.049761772,-0.00018310547
43420.086,3.8811283,507,378,588,384,-0.8454647,-0.8972573,-0.012887955
38916.215,10.599896,323,538,338,139,-0.27124906,-0.21751118,-0.02221036
38951.633,10.444425,381,422,482,487,-0.20380247,-0.03480053,-0.014446855
39826.426,8.868201,96,609,81,23,-0.5274775,-0.86073923,-0.0030584335
39169.883,10.44164,223,491,294,247,-0.20567095,-0.025629163,-0.017143369
37346.758,11.52152,213,191,270,294,-0.3527453,-0.65938234,-0.015789986
45124.793,2.7319126,159,508,503,71,-0.9800211,-0.9934944,-0.009023309
36882.062,12.213872,631,224,90,617,0.058670282,0.004057646,-0.004510522
40288.535,8.633321,24,647,34,27,-0.5325707,-0.8729111,0.0030796528
44726.1,2.7659516,441,382,586,319,-0.9653156,-0.9521581,-0.01644814
38444.14,10.456638,560,328,371,454,-0.13244164,0.05528915,-0.0076361895
40727.06,7.966238,11,643,22,13,-0.5790559,-0.92213225,-0.0015109777
40726.703,7.486684,205,511,201,175,-0.5986848,-0.8591052,-0.0037426949
