personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
37602,12.958063,1,0.0,0.0,0.0,0.5763273,0.72226906,0.74592817
40977,7.143586,0,0.0,0.0,0.0,0.26496625,0.709494,0.009299159
28513,26.888685,1,1.0,0.0,0.0,-0.59931576,-0.9945656,-0.9606297
19608,43.88621,0,0.0,0.0,0.0,0.34815037,-0.04110551,-0.0041948557
41094,6.3833537,0,0.0,0.0,0.0,0.28050196,0.74139774,0.026311994
29339,25.326895,0,1.0,0.0,0.0,-0.4654858,-0.5845659,-0.007819295
20532,37.78097,1,1.0,0.0,0.0,-0.9631432,-1.0404449,-0.96788836
24672,33.73117,1,1.0,0.0,0.0,-0.42922962,-0.13084137,-0.095347285
21506,36.06634,1,1.0,0.0,0.0,-0.89724004,-0.98401546,-0.9054414
36729,13.902547,1,0.0,0.0,0.0,-0.26121736,-1.3266618,-1.2602382
30833,20.786512,0,0.0,0.0,0.0,0.40635836,0.45863903,0.029568791
45442,1.975718,0,1.0,0.0,0.0,-1.0693033,-1.0546103,-0.032264113
24514,32.0061,1,1.0,0.0,0.0,-0.9122412,-0.920437,-0.7520033
37965,10.90226,1,0.0,0.0,0.0,0.13967001,0.03591633,0.026567936
22509,34.38182,1,1.0,0.0,0.0,-1.0323944,-1.0042396,-0.74316216
30669,22.10154,0,1.0,0.0,0.0,-0.58897483,-0.8070936,-0.002626419
29999,22.352276,0,0.0,0.0,0.0,0.26901102,0.4937688,0.013515711
23323,33.43914,1,1.0,0.0,0.0,-0.75789475,-1.1678998,-1.0680435
42936,4.90914,0,1.0,0.0,0.0,-0.89277077,-0.8826014,-0.021066785
28300,27.553902,0,1.0,0.0,0.0,-0.07846582,-0.5398632,0.008409739
38329,9.994927,1,0.0,0.0,0.0,0.16308749,0.0377903,0.02146697
43337,4.649595,0,1.0,0.0,0.0,-0.77518904,-0.9344326,-0.021864057
17596,42.946877,1,1.0,0.0,0.0,-1.0508988,-1.2383261,-1.1241829
24067,32.887695,1,1.0,0.0,0.0,-0.72253764,-0.55590963,-0.53849876
42996,5.2156477,0,1.0,0.0,0.0,-0.6822331,-0.6955178,-0.0047804117
23807,34.39284,1,0.0,0.0,0.0,0.90752745,1.1195397,1.0918736
28783,26.236246,1,1.0,0.0,0.0,-0.55339444,-1.1212246,-1.0519865
37450,12.514271,1,0.0,0.0,0.0,0.3297559,0.36150897,0.37242424
31054,23.318907,1,1.0,0.0,0.0,-0.31141293,-1.1507978,-1.1201587
34765,15.899433,1,0.0,0.0,0.0,0.76202595,0.97762847,0.95043933
34160,16.377096,0,0.0,0.0,0.0,-0.048401713,-0.27201223,-0.10539138
34245,17.507212,1,0.0,0.0,0.0,0.9594412,1.3222172,1.2608604
36017,15.0545845,1,0.0,0.0,0.0,0.41949785,0.5813757,0.6045283
28324,26.557758,1,1.0,0.0,0.0,-0.5544442,-0.93773425,-0.8904669
25258,32.65824,1,1.0,0.0,0.0,-0.8055651,-0.8042165,-0.81129444
23227,32.859886,1,0.0,0.0,0.0,1.2424531,1.5148821,1.4537287
44825,3.3071513,0,1.0,0.0,0.0,-0.9016988,-1.0166917,-0.02061522
19601,40.151134,1,1.0,0.0,0.0,-1.0820162,-1.1282437,-1.0992985
27515,28.619333,1,1.0,0.0,0.0,-0.69385207,-1.0758083,-1.0292423
27266,28.567133,1,1.0,0.0,0.0,-0.6565589,-1.1871524,-1.126879
11750,65.05563,0,0.0,0.0,0.0,1.2162902,-0.09125972,0.019782186
36338,13.086568,1,0.0,0.0,0.0,0.13374317,0.08000052,0.10430741
24992,32.391808,1,1.0,0.0,0.0,-0.8221171,-1.0277641,-0.976964
30221,24.15759,1,0.0,0.0,0.0,0.83431506,1.2114966,1.1332655
28614,25.664394,0,1.0,0.0,0.0,-0.847612,-0.8845264,0.008908033
26157,29.575087,1,1.0,0.0,0.0,-0.6574205,-1.1742129,-1.0856884
29643,25.262016,1,1.0,0.0,0.0,-0.49442935,-1.1263645,-1.0757744
22071,35.786644,1,1.0,0.0,0.0,-0.9159939,-1.0522823,-0.9820523
18389,40.982304,1,1.0,0.0,0.0,-1.0357876,-1.1527734,-1.0805581
14798,46.56405,1,1.0,0.0,0.0,-1.1860785,-1.2893367,-1.1913469
24998,32.594612,1,1.0,0.0,0.0,-0.93612146,-1.0019488,-0.6916518
37665,11.165556,1,0.0,0.0,0.0,0.11591995,-0.00045406818,-0.0047824383
10943,63.940445,0,0.0,0.0,0.0,0.60096323,0.15289998,-0.013286233
39426,9.261699,0,1.0,0.0,0.0,-0.12849605,-0.05464852,0.00031733513
40414,9.8817215,1,0.0,0.0,0.0,-0.02457881,-1.3452058,-1.3304098
38310,10.7447405,1,0.0,0.0,0.0,0.16007221,0.005887389,0.0034257174
37414,13.030945,1,0.0,0.0,0.0,-0.06113398,-1.0808606,-0.97618127
38300,10.2364855,1,0.0,0.0,0.0,0.16260278,0.056210518,0.026929498
42712,5.8698053,0,0.0,0.0,0.0,0.17552233,0.6671443,-0.00023436546
27384,28.111012,0,0.0,0.0,0.0,0.75002635,-0.057840943,0.03245449
35244,16.343252,1,0.0,0.0,0.0,0.4564544,0.6392174,0.65751445
28746,26.471586,1,1.0,0.0,0.0,-0.569659,-1.2329857,-1.1668589
26952,29.06908,1,1.0,0.0,0.0,-0.6648669,-1.0891199,-1.0349989
25053,31.409466,1,1.0,0.0,0.0,-0.72664917,-1.1619754,-1.0885637
40204,8.145493,0,1.0,0.0,0.0,-0.5925416,-0.8028064,-0.0106806755
25435,31.504993,1,1.0,0.0,0.0,-0.6880809,-0.59698987,-0.5568409
38064,11.2193165,1,0.0,0.0,0.0,0.44790578,0.47544885,0.4711616
27351,27.914661,1,1.0,0.0,0.0,-0.61570466,-1.1983657,-1.1271882
24938,32.069134,1,1.0,0.0,0.0,-0.84378874,-0.87091994,-0.8449334
45442,1.212151,0,1.0,0.0,0.0,-1.2287931,-1.2445531,-0.0059365034
25760,31.914364,1,1.0,0.0,0.0,-0.7701967,-0.9349326,-0.8790839
45442,2.4610007,0,1.0,0.0,0.0,-1.093225,-1.1508262,-0.01987958
40111,9.845885,1,0.0,0.0,0.0,-0.029160738,-1.2599211,-1.2276828
26360,28.74867,1,0.0,0.0,0.0,0.34144592,-0.6721946,-0.69552875
25841,30.277695,1,1.0,0.0,0.0,-0.64231133,-0.6253786,-0.58672893
16090,51.109524,0,0.0,0.0,0.0,0.98729134,-0.19274819,-0.053421736
23464,35.568737,1,1.0,0.0,0.0,-0.50976086,-0.08849752,-0.10147452
13769,48.66895,1,1.0,0.0,0.0,-1.2252805,-1.2613053,-1.169352
14759,47.788216,1,1.0,0.0,0.0,-1.1245439,-1.2515266,-1.1345811
18578,41.960247,1,0.0,0.0,0.0,0.88721454,-0.5992017,-0.7586318
29267,26.592884,1,1.0,0.0,0.0,-0.5342946,-1.1150925,-1.0620623
37490,11.194055,1,0.0,0.0,0.0,0.099458456,0.0811075,-0.008847475
21876,36.86919,1,1.0,0.0,0.0,-0.9655647,-1.0867541,-1.0387332
18784,40.410603,1,1.0,0.0,0.0,-1.004082,-1.1964419,-1.0942001
25931,32.359592,1,1.0,0.0,0.0,-0.3355595,-0.08352256,0.0024323463
26773,29.119143,1,1.0,0.0,0.0,-0.64907265,-0.9995451,-0.91946435
25372,31.265842,1,1.0,0.0,0.0,-0.8244008,-0.88645935,-0.8771142
23693,33.408543,1,1.0,0.0,0.0,-0.803344,-1.2012074,-1.1336527
22545,34.826694,0,0.0,0.0,0.0,0.13866818,0.14113724,0.014506817
33354,18.378698,0,1.0,0.0,0.0,-0.19179845,-0.48944342,0.019388556
35428,14.431434,1,0.0,0.0,0.0,0.059522152,-0.8690015,-0.88506246
38520,9.893791,1,0.0,0.0,0.0,0.3789457,0.379807,0.34105897
34856,14.795075,0,0.0,0.0,0.0,0.33301294,0.44343626,0.028636694
40289,9.065743,0,1.0,0.0,0.0,-0.3274783,-0.22941053,-0.015842676
28655,25.930656,1,0.0,0.0,0.0,0.67447495,0.85275114,0.8736141
29449,24.974009,1,1.0,0.0,0.0,-0.4907266,-1.109766,-1.0455196
26971,28.557846,1,1.0,0.0,0.0,-0.67385054,-0.9841757,-0.93716145
25153,33.41773,0,0.0,0.0,0.0,0.23349166,-0.3305223,-0.0040205717
29618,23.425869,0,1.0,0.0,0.0,-0.82287943,-0.8478986,0.0129157305
38578,9.656691,0,0.0,0.0,0.0,0.20014954,0.40892506,0.0043245554
39642,9.524807,0,1.0,0.0,0.0,-0.1830008,-0.03925824,-0.013099313
29443,26.445915,1,1.0,0.0,0.0,-0.54228806,-1.1233346,-1.0672195
45442,0.009069443,0,1.0,0.0,0.0,-1.6050141,-1.539576,-0.0313226
37593,11.50721,1,0.0,0.0,0.0,0.06662178,-0.5049486,-0.465253
38200,10.539388,1,0.0,0.0,0.0,0.311504,0.24344373,0.23457038
32162,21.01075,0,1.0,0.0,0.0,-0.19083154,-0.4840436,-0.04179287
35075,13.133506,0,1.0,0.0,0.0,-1.0622718,-1.0785534,-0.03625393
3906,98.80825,0,0.0,0.0,0.0,1.8846815,-0.16218936,0.048707247
29354,23.465834,1,0.0,0.0,0.0,0.3220166,-0.7504493,-0.8148563
30084,24.73085,0,1.0,0.0,0.0,-0.24745989,-0.7199577,0.01431644
26379,29.368607,1,1.0,0.0,0.0,-0.7142917,-1.1419101,-1.0619588
34748,15.958694,1,0.0,0.0,0.0,0.080370665,-0.5533358,-0.529997
29966,25.612518,0,1.0,0.0,0.0,-0.3397348,-0.76029515,-0.011374831
37897,10.112924,1,0.0,0.0,0.0,0.24192631,0.1362015,0.10881233
34963,16.825176,1,0.0,0.0,0.0,-0.24411929,-1.2422404,-1.1804442
37565,10.743031,1,0.0,0.0,0.0,0.017043829,-0.45266664,-0.42643106
36024,13.995024,1,0.0,0.0,0.0,0.05493641,-0.4948089,-0.4522382
23884,32.97852,1,1.0,0.0,0.0,-0.7714704,-1.0732157,-0.98775935
41116,7.0091352,0,1.0,0.0,0.0,-0.52751875,-0.5819733,0.009480715
40365,8.049048,0,0.0,0.0,0.0,0.38887668,0.6499933,0.20197558
45442,1.1271071,0,1.0,0.0,0.0,-1.379116,-1.2213199,-0.057104945
21026,37.75707,1,1.0,0.0,0.0,-0.9631841,-1.0395002,-0.9786562
11813,51.887077,1,1.0,0.0,0.0,-1.2660315,-1.3771808,-1.2745869
27451,27.88465,1,1.0,0.0,0.0,-0.67395544,-0.9465914,-0.89389384
31004,24.089579,1,1.0,0.0,0.0,-0.42263877,-1.2723868,-1.2118905
36338,12.444469,0,0.0,0.0,0.0,-0.34935737,-0.53461957,-0.010517955
38131,10.2947235,1,0.0,0.0,0.0,0.17152226,0.02729845,0.012521863
19749,45.270325,0,0.0,0.0,0.0,0.6349051,0.06623387,-0.0065871477
34798,15.006317,1,0.0,0.0,0.0,0.10142958,-0.85784304,-0.8997998
38104,10.352063,1,0.0,0.0,0.0,0.18981373,0.08980727,0.06638479
38994,9.528387,0,1.0,0.0,0.0,-0.5861019,-0.8266642,-0.0073941946
29459,25.150816,1,1.0,0.0,0.0,-0.5407026,-1.1494663,-1.1086047
15970,44.743637,1,1.0,0.0,0.0,-1.0846474,-1.2196043,-1.1115422
11733,58.262024,1,0.0,0.0,0.0,1.1702776,-0.24981093,-0.17306256
39647,9.5660095,0,1.0,0.0,0.0,-0.505558,-0.5137148,-0.0028965473
29904,24.487059,1,1.0,0.0,0.0,-0.53470135,-1.3083944,-1.2202592
25092,28.879845,0,1.0,0.0,0.0,-1.0515368,-0.8118069,-0.05104637
19889,44.31041,0,0.0,0.0,0.0,0.40026724,-0.017074585,-0.01661849
15483,45.934677,1,1.0,0.0,0.0,-1.112565,-1.2760692,-1.1620381
28774,26.598387,1,1.0,0.0,0.0,-0.5906683,-0.94910455,-0.94211817
45391,2.797625,0,1.0,0.0,0.0,-1.0898015,-1.1034119,-0.01994133
10011,70.442505,0,0.0,0.0,0.0,1.1926916,-0.18208158,0.019400716
22133,38.916832,1,0.0,0.0,0.0,0.6743623,-0.27316332,-0.17838514
29390,25.475517,0,1.0,0.0,0.0,-0.5910126,-0.79771423,0.010136247
15281,56.077923,0,0.0,0.0,0.0,0.82879496,-0.0033922195,0.007797003
20090,37.49457,1,1.0,0.0,0.0,-0.9399586,-1.0214527,-0.9501556
27078,29.988646,1,1.0,0.0,0.0,-0.6877737,-0.9155575,-0.6407943
30448,22.711906,1,0.0,0.0,0.0,0.10199618,-0.7982334,-0.78852284
17581,41.896164,1,1.0,0.0,0.0,-1.0810027,-1.156796,-1.0747995
30032,23.924314,0,1.0,0.0,0.0,-0.6271715,-0.8151071,0.014868617
20384,38.980476,1,0.0,0.0,0.0,0.7344376,-0.49764013,-0.5238669
45442,1.1873529,0,1.0,0.0,0.0,-1.2426326,-1.225539,-0.017429352
38769,9.670521,1,0.0,0.0,0.0,0.18795156,0.19939744,0.058862925
21838,35.40797,1,1.0,0.0,0.0,-0.9110677,-0.89319384,-0.8033148
26293,30.139069,1,1.0,0.0,0.0,-0.7145705,-1.0257766,-0.95326877
35124,13.744767,0,0.0,0.0,0.0,0.36200857,0.556219,0.022726297
38026,10.613982,1,0.0,0.0,0.0,0.08507705,-0.15334022,-0.14917564
32520,18.287569,1,0.0,0.0,0.0,0.27600098,-0.7706989,-0.87709713
22368,35.565926,1,1.0,0.0,0.0,-0.8842318,-1.0324147,-0.95619273
17161,42.412823,1,1.0,0.0,0.0,-1.1329024,-1.1527503,-1.0903635
32634,19.989092,1,0.0,0.0,0.0,0.5839753,0.72845495,0.7759476
39813,8.615578,0,0.0,0.0,0.0,0.2658764,0.6086334,0.011061788
38780,9.608931,0,1.0,0.0,0.0,-0.5565523,-0.7806827,-0.0070762634
24431,34.283295,1,1.0,0.0,0.0,-0.4736575,-0.16034222,-0.14706326
39738,8.880715,0,1.0,0.0,0.0,-0.43318188,-0.5774629,-0.007901311
22464,35.646538,1,1.0,0.0,0.0,-0.93598974,-1.0135541,-0.9576231
27630,27.735338,1,1.0,0.0,0.0,-0.63339245,-1.0086362,-0.9522276
37061,14.279198,1,0.0,0.0,0.0,0.51355326,0.71874464,0.741817
45442,1.5679138,0,1.0,0.0,0.0,-1.1588483,-1.239964,-0.004198551
30287,24.601645,1,1.0,0.0,0.0,-0.4436338,-1.1876254,-1.1324015
35404,14.196816,0,0.0,0.0,0.0,0.3702861,0.6638948,0.004019618
39524,7.4050903,0,1.0,0.0,0.0,-1.111052,-1.0554166,-0.035035253
35055,16.260878,1,0.0,0.0,0.0,0.5900966,0.6879715,0.7009814
19955,38.456306,1,1.0,0.0,0.0,-0.968771,-1.0279276,-0.9415381
37547,12.260096,1,0.0,0.0,0.0,0.007124901,-1.0611672,-1.0379393
31130,20.182928,1,0.0,0.0,0.0,-0.25325918,-0.3809961,-0.37209988
20319,44.33584,0,0.0,0.0,0.0,0.83317065,-0.11877012,-0.063984394
33662,16.860579,1,0.0,0.0,0.0,0.49969518,0.6250831,0.5422522
20384,38.90368,1,0.0,0.0,0.0,1.296967,1.5674882,1.4734981
40422,8.086504,0,1.0,0.0,0.0,-0.50810826,-0.53859544,0.009606123
44659,3.4364371,0,1.0,0.0,0.0,-0.91670024,-0.99236107,-0.014325142
38480,11.362589,1,0.0,0.0,0.0,0.36050236,0.47944093,0.33995306
14409,57.234547,0,0.0,0.0,0.0,0.67345655,0.113083005,-0.0002951622
37171,13.12292,1,0.0,0.0,0.0,0.3828256,0.5022527,0.4831977
25105,31.05577,1,1.0,0.0,0.0,-0.7248008,-1.0643022,-0.98703194
41242,6.9177322,0,1.0,0.0,0.0,-0.6115259,-0.7890123,-0.0074573755
43657,4.8671575,0,1.0,0.0,0.0,-0.73884904,-0.6117281,-0.023667216
29902,25.555859,1,1.0,0.0,0.0,-0.4924667,-1.1480806,-1.10483
25288,31.65968,1,1.0,0.0,0.0,-0.82568336,-0.89544225,-0.8758817
29494,25.067814,1,1.0,0.0,0.0,-0.48498583,-1.1473796,-1.0787151
21486,36.414124,1,1.0,0.0,0.0,-0.89846456,-1.0875645,-1.0156841
9022,55.51933,1,1.0,0.0,0.0,-1.3488142,-1.3858986,-1.2801044
27541,27.11988,0,0.0,0.0,0.0,0.44823384,0.5343622,0.020834923
25733,30.399067,0,1.0,0.0,0.0,-0.8008069,-0.8452394,-0.37459648
19545,38.843803,1,1.0,0.0,0.0,-0.9616717,-1.1143119,-1.0154302
29928,24.037096,0,1.0,0.0,0.0,-0.6493753,-0.83341277,0.014327645
37496,10.675788,0,1.0,0.0,0.0,-0.61348546,-0.90897906,-0.009217143
30116,23.848886,1,0.0,0.0,0.0,-0.16847563,-0.97840536,-0.98364806
34025,15.247969,0,0.0,0.0,0.0,-0.16866004,-0.30268776,0.00010442734
25719,28.64515,0,1.0,0.0,0.0,-1.0715752,-0.8476094,0.0147084
29561,25.70889,1,1.0,0.0,0.0,-0.52801895,-1.1247699,-1.0706105
38859,10.60197,1,0.0,0.0,0.0,0.13136125,0.016454935,-0.022606492
32781,20.669195,1,0.0,0.0,0.0,0.5188271,0.8049158,0.8168423
23439,33.88346,1,1.0,0.0,0.0,-0.8363415,-0.9163414,-0.84980965
19234,40.241955,1,1.0,0.0,0.0,-1.0216105,-1.1472507,-1.0507421
26842,29.304873,1,1.0,0.0,0.0,-0.59146595,-0.59576774,-0.43520832
10858,54.17199,1,1.0,0.0,0.0,-1.2503335,-1.4026718,-1.2521017
16558,43.92887,1,1.0,0.0,0.0,-1.1161704,-1.2146292,-1.1373692
12358,57.97908,1,0.0,0.0,0.0,1.4613962,1.7551668,1.6431673
35197,15.664892,1,0.0,0.0,0.0,-0.09980309,-1.033324,-0.96602917
29708,23.130705,0,1.0,0.0,0.0,-0.89072406,-0.8318181,-0.005783558
23905,33.118206,1,1.0,0.0,0.0,-0.81327975,-1.0336719,-0.95375204
38126,11.327443,0,1.0,0.0,0.0,-0.29652894,-0.23924124,0.002112627
30842,20.400427,0,0.0,0.0,0.0,0.34923828,0.59895563,-0.0006722212
30767,23.317698,0,1.0,0.0,0.0,-0.43971097,-0.7830558,0.021206856
20845,37.064972,1,1.0,0.0,0.0,-0.90333354,-1.1575785,-1.0536857
25457,32.632175,1,1.0,0.0,0.0,-0.8159969,-0.8465059,-0.8073802
42168,5.8443727,0,1.0,0.0,0.0,-0.7067821,-0.6596608,0.012765527
15868,46.139954,1,1.0,0.0,0.0,-1.0852349,-1.2075512,-1.1089945
42344,6.096166,0,1.0,0.0,0.0,-0.56880593,-0.4820751,-0.018458247
