personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
23805,35.20983,1,1.0,0.0,0.0,-0.85833657,-0.9936632,-1.0163732
24162,34.09666,1,1.0,0.0,0.0,-0.3609588,-0.046913624,-0.03903818
24261,34.453556,1,1.0,0.0,0.0,-0.8491013,-0.9664166,-0.99570763
26425,31.285805,1,1.0,0.0,0.0,-0.7577871,-0.843431,-0.83503115
26163,32.198807,1,1.0,0.0,0.0,-0.8253305,-0.9698212,-0.9904313
31196,25.555271,1,1.0,0.0,0.0,-0.43337178,-1.1417999,-1.1799507
21330,39.664078,1,1.0,0.0,0.0,-0.92360973,-1.0280762,-1.0533898
17618,47.633667,1,1.0,0.0,0.0,-1.0836937,-1.2740371,-1.325525
28531,28.179848,1,1.0,0.0,0.0,-0.6657859,-1.0856407,-1.1165679
25308,32.96393,1,1.0,0.0,0.0,-0.8380854,-0.9795655,-1.0049195
25891,32.47808,1,1.0,0.0,0.0,-0.7994844,-0.8950417,-0.8937073
27492,28.92782,1,1.0,0.0,0.0,-0.7093042,-0.92422223,-0.9546548
30008,24.797358,1,1.0,0.0,0.0,-0.64399254,-0.9064994,-0.6898767
24088,34.350723,1,1.0,0.0,0.0,-0.571702,-0.31140518,-0.28828585
25364,33.202427,1,1.0,0.0,0.0,-0.84438133,-0.96038425,-0.987321
28782,27.548744,1,1.0,0.0,0.0,-0.62706435,-1.0316732,-1.044626
30114,26.343166,1,1.0,0.0,0.0,-0.51935554,-1.1385303,-1.1352649
34952,15.219606,0,1.0,0.0,0.0,-0.36202788,-0.55063903,-0.064157486
14859,53.12615,1,1.0,0.0,0.0,-1.1235988,-1.2775831,-1.3217204
30042,25.94124,1,1.0,0.0,0.0,-0.5076096,-1.0505228,-1.0871856
24777,33.706284,1,1.0,0.0,0.0,-0.81454694,-1.0370195,-1.0666766
23785,35.2925,1,1.0,0.0,0.0,-0.85980165,-1.0400047,-1.0743823
29970,26.135487,1,1.0,0.0,0.0,-0.5227699,-1.1049812,-1.1203735
26753,30.940123,1,1.0,0.0,0.0,-0.7617892,-1.0316508,-1.0652444
21734,38.597157,1,1.0,0.0,0.0,-0.91921294,-1.0823152,-1.1143136
24287,33.505352,1,1.0,0.0,0.0,-0.30419278,-0.00303936,-0.006149173
31573,24.619778,1,1.0,0.0,0.0,-0.3964919,-1.1343858,-1.1397662
27273,29.892265,1,1.0,0.0,0.0,-0.775965,-0.9671985,-0.9748117
24673,33.822456,1,1.0,0.0,0.0,-0.844344,-1.0128484,-1.0410137
26385,31.217564,1,1.0,0.0,0.0,-0.78216827,-0.8320317,-0.8406904
27240,30.203156,1,1.0,0.0,0.0,-0.71625483,-0.86482,-0.82874024
22542,37.35097,1,1.0,0.0,0.0,-0.89488673,-1.0603652,-1.1019237
41903,6.141261,0,1.0,0.0,0.0,-0.5920491,-0.91729856,-0.006295085
40032,8.6227865,0,1.0,0.0,0.0,-0.46859372,-0.86866355,-0.0090818405
25968,31.512901,1,1.0,0.0,0.0,-0.7471038,-0.7559694,-0.75840175
25846,32.15867,1,1.0,0.0,0.0,-0.71041167,-0.68476856,-0.6082159
29324,26.917341,1,1.0,0.0,0.0,-0.5603932,-1.0658135,-1.1124756
26971,29.91609,1,1.0,0.0,0.0,-0.7162361,-0.8016466,-0.809378
21844,39.071228,1,1.0,0.0,0.0,-0.93847847,-1.1111579,-1.1347969
22234,38.893734,1,1.0,0.0,0.0,-0.95011425,-1.0515954,-1.1009917
25596,31.663895,1,1.0,0.0,0.0,-0.76701343,-0.8928915,-0.91112304
35150,18.175293,1,0.0,0.0,0.0,-0.15928578,-1.1034031,-1.1220539
26185,31.74036,1,1.0,0.0,0.0,-0.7749655,-1.0268226,-1.0466363
21778,40.101196,1,1.0,0.0,0.0,-0.97990286,-1.1550629,-1.1922355
26917,30.435705,1,1.0,0.0,0.0,-0.76345634,-0.88719,-0.8936131
26030,31.913467,1,1.0,0.0,0.0,-0.7451049,-0.79467666,-0.7602453
32371,24.005405,1,1.0,0.0,0.0,-0.36863494,-1.189079,-1.2274191
25716,31.356552,1,1.0,0.0,0.0,-0.51922107,-0.3698361,-0.3236524
25653,32.07481,1,1.0,0.0,0.0,-0.79516673,-0.84481704,-0.857887
31203,24.827951,1,1.0,0.0,0.0,-0.4580418,-1.1307786,-1.1605504
22416,38.35593,1,1.0,0.0,0.0,-0.93023145,-1.0171099,-1.0531611
42304,5.6655035,0,1.0,0.0,0.0,-0.6567464,-0.9429891,0.015667915
24137,35.745377,1,1.0,0.0,0.0,-0.87351537,-1.0468946,-1.0709527
24790,33.07537,1,1.0,0.0,0.0,-0.63127184,-0.4594456,-0.45926464
22876,36.694633,1,1.0,0.0,0.0,-0.86826503,-1.0111179,-1.0283458
30531,26.468653,1,1.0,0.0,0.0,-0.47974753,-1.0893099,-1.1338313
24084,33.838997,1,1.0,0.0,0.0,-0.38737607,-0.059179187,-0.051542997
26512,31.496902,1,1.0,0.0,0.0,-0.6429249,-1.0580792,-1.1267946
25061,32.79953,1,1.0,0.0,0.0,-0.777761,-0.98514926,-1.0127707
26975,30.440044,1,1.0,0.0,0.0,-0.7443185,-0.8489796,-0.8434645
28269,29.037556,1,1.0,0.0,0.0,-0.57335067,-1.0367274,-1.1049168
24380,35.11472,1,1.0,0.0,0.0,-0.8778057,-1.0097783,-1.0443468
22595,37.35953,1,1.0,0.0,0.0,-0.886675,-1.1067302,-1.1430299
26040,31.394054,1,1.0,0.0,0.0,-0.7842506,-0.9946073,-1.0204008
25159,33.49235,1,1.0,0.0,0.0,-0.8089552,-0.89093363,-0.8984642
26217,32.32726,1,1.0,0.0,0.0,-0.818161,-0.9176661,-0.9190824
20085,42.629955,1,1.0,0.0,0.0,-1.02019,-1.1969454,-1.2393453
24066,36.10894,1,1.0,0.0,0.0,-0.8368815,-0.7513993,-0.75812304
21503,39.3274,1,1.0,0.0,0.0,-0.91509855,-1.0566115,-1.0864353
20436,41.914925,1,1.0,0.0,0.0,-0.99724543,-1.1979742,-1.2526908
26311,31.08318,1,1.0,0.0,0.0,-0.74139476,-0.76778305,-0.7545148
26786,31.394135,1,1.0,0.0,0.0,-0.78181267,-0.9085717,-0.9126179
32698,22.928726,1,1.0,0.0,0.0,-0.3635583,-1.2549231,-1.2736518
24600,33.740192,1,1.0,0.0,0.0,-0.37143624,-0.10275519,-0.08570838
