personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
17158.549,46.21597,1,1.0,0.0,0.0,-1.0371516,-1.3182838,-1.3195066
18733.479,43.30388,1,1.0,0.0,0.0,-0.9590461,-1.2257206,-1.2213397
25040.873,32.98271,1,1.0,0.0,0.0,-0.841128,-1.039779,-1.0418444
46511.125,1.8856788,0,1.0,0.0,0.0,-1.1155038,-1.1158776,-0.039467573
39613.465,8.630085,0,1.0,0.0,0.0,-0.5297643,-0.80881095,-0.024771571
45369.508,2.4442568,0,1.0,0.0,0.0,-1.0236542,-1.0435982,-0.02623856
28781.225,27.527971,1,1.0,0.0,0.0,-0.576648,-1.0701721,-1.1097596
31384.422,24.977297,1,1.0,0.0,0.0,-0.4159248,-1.2200046,-1.2357957
28234.979,28.120596,1,1.0,0.0,0.0,-0.6147026,-1.038032,-1.0708625
24727.46,32.562496,1,1.0,0.0,0.0,-0.824752,-0.978171,-0.93292534
41803.484,5.342147,0,1.0,0.0,0.0,-0.7379339,-0.87021625,-0.013937831
38316.19,9.987305,0,1.0,0.0,0.0,-0.4308983,-0.6545676,4.5657158e-05
24614.162,35.020157,1,1.0,0.0,0.0,-0.6405523,-0.6030972,-0.61941004
43698.883,3.4838128,0,1.0,0.0,0.0,-0.8981416,-0.9566499,-0.02328527
30096.316,25.514137,1,1.0,0.0,0.0,-0.53982246,-1.2762306,-1.2995069
25875.898,28.654022,1,1.0,0.0,0.0,-0.91037357,-1.1384854,-0.9518429
40326.21,8.054908,0,1.0,0.0,0.0,-0.58754945,-0.8725556,-0.019390225
27803.068,29.104935,1,1.0,0.0,0.0,-0.6107843,-1.0046315,-1.0411184
39932.957,8.319483,0,1.0,0.0,0.0,-0.53376746,-0.80220187,-0.013043523
25813.615,32.480556,1,1.0,0.0,0.0,-0.7754562,-0.78849065,-0.8290981
31276.996,25.363615,1,1.0,0.0,0.0,-0.45886314,-1.3201363,-1.3555889
