personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
26250,30.73209,1,0.0,0.0,0.0,0.78119326,1.0916233,1.0502791
28496,27.415968,1,1.0,0.0,0.0,-0.2758696,-0.101168275,-0.07059741
36120,19.006136,1,0.0,0.0,0.0,0.47174394,0.88205695,0.83594525
36140,19.06302,1,0.0,0.0,0.0,0.45468676,0.88948286,0.8685045
37874,11.107349,1,0.0,0.0,0.0,0.16542661,0.047485948,0.048208356
34665,16.027023,1,0.0,0.0,0.0,-0.17556632,-0.62036574,-0.6268164
27254,28.54922,1,1.0,0.0,0.0,-0.7677139,-1.0768538,-1.0748208
37514,11.740887,1,0.0,0.0,0.0,0.65374374,0.69693553,0.6979537
10026,49.945244,1,0.0,0.0,0.0,1.5033586,1.5735941,1.540173
33480,18.841139,1,0.0,0.0,0.0,-0.071425796,-0.079663396,-0.07536769
34802,21.846514,1,0.0,0.0,0.0,0.45567715,0.87042,0.882625
19610,37.979332,1,0.0,0.0,0.0,1.00944,1.1673114,1.1580138
30458,25.94602,1,1.0,0.0,0.0,-0.52086294,-1.2043006,-1.2012537
40333,7.1955233,1,0.0,0.0,0.0,1.0623152,0.93200314,0.89775336
28734,26.746363,1,1.0,0.0,0.0,-0.5954517,-1.0201533,-0.99855244
37921,11.229823,1,0.0,0.0,0.0,0.059395432,-0.15198302,-0.16075766
32139,19.92704,1,1.0,0.0,0.0,-0.36608362,-0.7941946,-0.7773659
31612,24.966917,1,1.0,0.0,0.0,-0.416201,-1.2033849,-1.2016442
23976,33.94652,1,0.0,0.0,0.0,0.9359549,1.1892011,1.164166
27109,28.233543,1,1.0,0.0,0.0,-0.75613856,-0.94081545,-0.9141685
20938,38.59172,1,1.0,0.0,0.0,-1.0410967,-1.2221465,-1.2112343
39428,10.0961275,1,0.0,0.0,0.0,0.040583253,-0.32048893,-0.35196364
27636,28.321712,1,1.0,0.0,0.0,-0.8010107,-1.1329055,-1.129081
30491,25.778423,1,1.0,0.0,0.0,-0.5540291,-1.240768,-1.2209704
26119,29.729073,1,1.0,0.0,0.0,-0.79633963,-0.9697548,-0.96396255
27616,28.649288,1,1.0,0.0,0.0,-0.7474512,-1.0957901,-1.0861068
28964,27.800104,1,0.0,0.0,0.0,0.742244,1.094481,1.0497577
34245,22.061321,1,0.0,0.0,0.0,0.44226336,0.83277905,0.86614645
33099,23.552597,1,0.0,0.0,0.0,0.5399097,0.9428352,0.9329933
23356,37.09693,1,1.0,0.0,0.0,-0.46796405,-0.06155467,-0.06329131
20189,37.843044,1,0.0,0.0,0.0,1.0323722,1.2378299,1.2122853
27110,28.724493,1,1.0,0.0,0.0,-0.74875796,-1.0467784,-1.0367877
38789,10.394374,1,0.0,0.0,0.0,0.0847224,-0.2094928,-0.23872602
30349,26.366863,1,0.0,0.0,0.0,0.6614871,1.0420134,1.0072618
26731,29.175089,1,1.0,0.0,0.0,-0.786041,-0.9538506,-0.9503397
28155,28.846445,1,0.0,0.0,0.0,0.6815702,1.0039744,0.97179556
33797,21.277683,1,0.0,0.0,0.0,0.23511589,0.52943075,0.5819396
25482,31.57032,1,1.0,0.0,0.0,-0.8724556,-1.0651958,-1.0602634
38518,10.462239,1,0.0,0.0,0.0,0.115367055,-0.033317447,-0.053595543
18840,40.528336,1,0.0,0.0,0.0,1.2494571,1.4784083,1.4142842
37391,12.293126,1,0.0,0.0,0.0,-0.004677534,-0.7508751,-0.76641726
39523,8.69244,1,0.0,0.0,0.0,0.9170506,0.89597344,0.83316267
30408,25.55625,1,1.0,0.0,0.0,-0.59146273,-1.1991327,-1.2080996
36292,19.294243,1,0.0,0.0,0.0,0.53252316,0.9630797,0.9250357
28690,27.155163,1,1.0,0.0,0.0,-0.61770844,-0.99540424,-0.98448706
25868,30.297329,1,1.0,0.0,0.0,-0.76391816,-0.81092703,-0.78706205
30414,26.255747,1,1.0,0.0,0.0,-0.55559874,-1.1801631,-1.2048666
39857,7.7940655,1,0.0,0.0,0.0,1.0061514,0.88774097,0.8590218
22560,36.763687,1,1.0,0.0,0.0,-0.45352697,-0.033919573,-0.07301593
36456,19.416965,1,0.0,0.0,0.0,0.3544327,0.7302371,0.7555473
25411,31.253735,1,1.0,0.0,0.0,-0.85036516,-1.0380766,-1.0163755
28329,27.876125,1,1.0,0.0,0.0,-0.695343,-1.0487404,-1.0460038
38435,10.421208,1,0.0,0.0,0.0,0.6820133,0.713053,0.7208538
36933,14.004108,1,0.0,0.0,0.0,0.3000058,0.36509812,0.38087237
35817,20.35934,1,0.0,0.0,0.0,0.4721644,0.88957167,0.8907932
25364,32.60857,1,1.0,0.0,0.0,-0.4532262,-0.12939858,-0.13599372
30277,26.470259,1,1.0,0.0,0.0,-0.5389379,-1.3107915,-1.3177223
