personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
23052,35.09591,1,0.0,0.0,0.0,0.14659214,0.3912884,0.2845477
31392,19.24704,1,0.0,0.0,0.0,0.6113143,0.73394704,0.7302623
16601,46.451893,0,0.0,0.0,0.0,0.1550777,-0.019738078,0.00792098
38134,10.090027,1,0.0,0.0,0.0,0.5349214,0.6244043,0.6229558
36385,12.513599,0,0.0,0.0,0.0,0.507504,0.5801146,0.32276666
36889,11.917124,1,0.0,0.0,0.0,0.19688225,0.148489,0.043054223
37156,11.858446,1,0.0,0.0,0.0,-0.012765765,-0.05624962,-0.08750582
18571,48.880543,1,0.0,0.0,0.0,1.1943936,1.6441693,1.5730739
35452,14.09898,1,0.0,0.0,0.0,-0.048099875,-0.65710664,-0.6738672
24327,33.099926,1,0.0,0.0,0.0,0.9760411,1.264235,1.256995
34369,15.298502,0,0.0,0.0,0.0,0.10465467,-0.13674307,-0.2801442
23169,36.12164,1,1.0,0.0,0.0,-0.49029195,-0.01815188,-0.0545336
37864,10.780551,1,0.0,0.0,0.0,0.7173873,0.80177605,0.8271642
32592,19.597029,0,0.0,0.0,0.0,0.5391611,0.47123504,0.03843665
28765,24.045815,1,0.0,0.0,0.0,0.546119,0.64064276,0.54723024
28962,25.226309,0,0.0,0.0,0.0,0.42840433,0.2975043,-0.026478529
25150,33.592754,0,0.0,0.0,0.0,0.44050968,0.2758627,0.016086936
37077,12.292551,1,0.0,0.0,0.0,-0.07924271,-0.8858763,-0.9440197
23835,33.717533,1,1.0,0.0,0.0,-0.80039537,-0.469666,-0.5092704
34224,16.137016,1,0.0,0.0,0.0,-0.0086221695,-0.41502273,-0.46422553
42763,6.126081,0,0.0,0.0,0.0,0.391109,0.808388,0.06348276
10802,72.1893,1,0.0,0.0,0.0,1.5798638,2.3065257,2.1334984
37490,11.015834,1,0.0,0.0,0.0,0.7091541,0.77501595,0.79090476
23329,35.66961,1,1.0,0.0,0.0,-0.5047822,-0.052758098,-0.08538723
35760,13.578712,1,0.0,0.0,0.0,-0.04549539,-0.3210224,-0.32856417
22140,36.42527,1,0.0,0.0,0.0,0.49776185,1.0165386,0.86596835
44348,4.0554547,0,0.0,0.0,0.0,0.2946893,0.9543098,0.03789723
39367,9.201104,0,0.0,0.0,0.0,0.32091486,0.62393796,0.013043046
37867,10.861647,1,0.0,0.0,0.0,0.35968852,0.38689137,0.37645984
45442,0.47383356,0,0.0,0.0,0.0,0.3576622,1.4329467,0.18714356
38196,10.2175045,1,0.0,0.0,0.0,0.18996692,0.26629138,0.22900593
17727,45.384697,0,0.0,0.0,0.0,0.21389866,0.020405173,-0.00084269047
29258,23.435997,1,0.0,0.0,0.0,0.7778877,0.9783889,0.94978714
14083,63.319267,1,0.0,0.0,0.0,1.4089878,1.9830492,1.8902009
20117,41.390297,0,0.0,0.0,0.0,0.26384747,0.06773591,0.0128695965
36535,12.450795,1,0.0,0.0,0.0,0.36678028,0.3683256,0.29340553
20029,44.00411,1,1.0,0.0,0.0,-0.7052028,0.038466096,-0.08264506
32500,17.970243,1,0.0,0.0,0.0,-0.3181684,-0.5069407,-0.5114769
25131,31.299316,1,0.0,0.0,0.0,0.7436739,0.972612,0.9457543
24044,33.70995,1,1.0,0.0,0.0,-0.5237825,-0.106761575,-0.11819267
21300,38.59931,0,0.0,0.0,0.0,0.3011546,0.13154781,-0.011378765
27630,26.201538,0,0.0,0.0,0.0,0.27040482,0.32541084,0.21454906
39370,9.417147,0,0.0,0.0,0.0,0.37555575,0.6962645,0.006486416
40054,9.695421,1,0.0,0.0,0.0,-0.075502396,-1.2516942,-1.3604546
36984,11.502749,1,0.0,0.0,0.0,0.6474762,0.7249409,0.73265123
21657,39.262882,1,0.0,0.0,0.0,0.96869147,1.3491979,1.2573042
22240,35.669785,0,0.0,0.0,0.0,0.17423606,0.022865057,-0.025520086
38223,10.211762,1,0.0,0.0,0.0,0.22771704,0.32074165,0.27397788
36655,12.606897,0,0.0,0.0,0.0,0.42300808,0.5408263,0.025996685
36429,12.204604,1,0.0,0.0,0.0,-0.10986626,-0.71413815,-0.73458767
24049,34.149136,0,0.0,0.0,0.0,0.43358302,0.21996772,0.031080842
22951,35.256546,0,0.0,0.0,0.0,-0.09749007,-0.13793302,-0.1245935
39768,9.847981,1,0.0,0.0,0.0,-0.0797894,-1.2285655,-1.3350196
24811,32.044643,1,1.0,0.0,0.0,-0.40958428,-0.061298966,-0.059702396
37765,11.046178,1,0.0,0.0,0.0,0.16028535,0.15611887,0.1324662
27597,25.887339,1,1.0,0.0,0.0,-0.4228357,-0.3381735,-0.28276467
32999,17.440042,1,0.0,0.0,0.0,0.44820845,0.5234816,0.5113348
45442,3.4137115,0,0.0,0.0,0.0,0.3668214,1.0869138,0.09364331
23290,35.688087,1,1.0,0.0,0.0,-0.5503088,-0.04982114,-0.09578776
27210,26.678846,1,0.0,0.0,0.0,0.64780617,0.8180766,0.7878616
40346,7.5940466,0,0.0,0.0,0.0,0.2888931,0.7202376,0.046441555
36874,12.335691,1,0.0,0.0,0.0,-0.08880401,-0.7770165,-0.85510623
31279,19.679007,1,0.0,0.0,0.0,-0.28821313,-0.5060135,-0.48295987
36806,12.792821,1,0.0,0.0,0.0,-0.080406666,-0.86324775,-0.92195714
33434,16.440367,0,0.0,0.0,0.0,0.34718287,0.31955695,0.012626886
39218,9.257855,0,0.0,0.0,0.0,0.33128524,0.6436988,0.012536764
26109,28.247814,1,1.0,0.0,0.0,-0.40871048,-0.12575936,-0.098733425
37649,12.056306,1,0.0,0.0,0.0,-0.102508545,-1.0205252,-1.0875049
22531,37.18384,0,0.0,0.0,0.0,0.4062376,0.32390356,0.099199176
38978,9.903089,1,0.0,0.0,0.0,0.114584565,0.14717364,0.09415233
37706,10.730634,0,0.0,0.0,0.0,0.14916563,0.26622832,-0.08560574
38763,9.782033,1,0.0,0.0,0.0,0.120909095,0.18270695,0.12039423
22227,36.931557,1,1.0,0.0,0.0,-0.67040336,-0.1276052,-0.19026685
36521,13.032466,1,0.0,0.0,0.0,-0.06644726,-0.8846357,-0.91377234
38098,10.519255,0,0.0,0.0,0.0,0.28250515,0.5355991,-0.0024642944
21845,39.168682,1,1.0,0.0,0.0,-0.60076153,-0.008519769,-0.08541536
37478,11.098585,0,0.0,0.0,0.0,0.24918473,0.44508564,-0.010458112
36448,12.576481,1,0.0,0.0,0.0,-0.027888179,-0.36787426,-0.3913064
40663,8.271593,1,0.0,0.0,0.0,0.87328506,1.072073,1.0274982
39236,9.236043,0,0.0,0.0,0.0,0.38732672,0.6625525,0.014542222
