age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,b'bm8=',b'MjM0Mw==',b'eWVz',no,unknown,5,may,1042,1,-1,b'MA==',unknown,yes
56,admin.,married,secondary,b'bm8=',b'NDU=',b'bm8=',no,unknown,5,may,1467,1,-1,b'MA==',unknown,yes
41,technician,married,secondary,b'bm8=',b'MTI3MA==',b'eWVz',no,unknown,5,may,1389,1,-1,b'MA==',unknown,yes
55,services,married,secondary,b'bm8=',b'MjQ3Ng==',b'eWVz',no,unknown,5,may,579,1,-1,b'MA==',unknown,yes
54,admin.,married,tertiary,b'bm8=',b'MTg0',b'bm8=',no,unknown,5,may,673,2,-1,b'MA==',unknown,yes
42,management,single,tertiary,b'bm8=',b'MA==',b'eWVz',yes,unknown,5,may,562,2,-1,b'MA==',unknown,yes
56,management,married,tertiary,b'bm8=',b'ODMw',b'eWVz',yes,unknown,6,may,1201,1,-1,b'MA==',unknown,yes
60,retired,divorced,secondary,b'bm8=',b'NTQ1',b'eWVz',no,unknown,6,may,1030,1,-1,b'MA==',unknown,yes
37,technician,married,secondary,b'bm8=',b'MQ==',b'eWVz',no,unknown,6,may,608,1,-1,b'MA==',unknown,yes
28,services,single,secondary,b'bm8=',b'NTA5MA==',b'eWVz',no,unknown,6,may,1297,3,-1,b'MA==',unknown,yes
38,admin.,single,secondary,b'bm8=',b'MTAw',b'eWVz',no,unknown,7,may,786,1,-1,b'MA==',unknown,yes
30,blue-collar,married,secondary,b'bm8=',b'MzA5',b'eWVz',no,unknown,7,may,1574,2,-1,b'MA==',unknown,yes
29,management,married,tertiary,b'bm8=',b'MTk5',b'eWVz',yes,unknown,7,may,1689,4,-1,b'MA==',unknown,yes
46,blue-collar,single,tertiary,b'bm8=',b'NDYw',b'eWVz',no,unknown,7,may,1102,2,-1,b'MA==',unknown,yes
31,technician,single,tertiary,b'bm8=',b'NzAz',b'eWVz',no,unknown,8,may,943,2,-1,b'MA==',unknown,yes
35,management,divorced,tertiary,b'bm8=',b'MzgzNw==',b'eWVz',no,unknown,8,may,1084,1,-1,b'MA==',unknown,yes
32,blue-collar,single,primary,b'bm8=',b'NjEx',b'eWVz',no,unknown,8,may,541,3,-1,b'MA==',unknown,yes
49,services,married,secondary,b'bm8=',b'LTg=',b'eWVz',no,unknown,8,may,1119,1,-1,b'MA==',unknown,yes
41,admin.,married,secondary,b'bm8=',b'NTU=',b'eWVz',no,unknown,8,may,1120,2,-1,b'MA==',unknown,yes
49,admin.,divorced,secondary,b'bm8=',b'MTY4',b'eWVz',yes,unknown,8,may,513,1,-1,b'MA==',unknown,yes
28,admin.,divorced,secondary,b'bm8=',b'Nzg1',b'eWVz',no,unknown,8,may,442,2,-1,b'MA==',unknown,yes
43,management,single,tertiary,b'bm8=',b'MjA2Nw==',b'eWVz',no,unknown,8,may,756,1,-1,b'MA==',unknown,yes
43,management,divorced,tertiary,b'bm8=',b'Mzg4',b'eWVz',no,unknown,8,may,2087,2,-1,b'MA==',unknown,yes
43,blue-collar,married,primary,b'bm8=',b'LTE5Mg==',b'eWVz',no,unknown,8,may,1120,2,-1,b'MA==',unknown,yes
37,unemployed,single,secondary,b'bm8=',b'Mzgx',b'eWVz',no,unknown,8,may,985,2,-1,b'MA==',unknown,yes
35,blue-collar,single,secondary,b'bm8=',b'NDA=',b'eWVz',no,unknown,9,may,617,4,-1,b'MA==',unknown,yes
31,technician,single,tertiary,b'bm8=',b'MjI=',b'eWVz',no,unknown,9,may,483,3,-1,b'MA==',unknown,yes
43,blue-collar,single,secondary,b'bm8=',b'Mw==',b'eWVz',no,unknown,9,may,929,3,-1,b'MA==',unknown,yes
31,admin.,married,secondary,b'bm8=',b'MzA3',b'eWVz',no,unknown,9,may,538,1,-1,b'MA==',unknown,yes
28,blue-collar,single,secondary,b'bm8=',b'NzU5',b'eWVz',no,unknown,9,may,710,1,-1,b'MA==',unknown,yes
