personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
3906,96.0,1,0.0,b'MS4w',b'MC4w',0.08457301,0.3086204,0.3086204
4122,94.0,1,0.0,b'MS4w',b'MC4w',0.0004498826,0.70055944,0.70055944
4448,92.0,0,0.0,b'MS4w',b'MC4w',0.45590964,0.48866156,0.0
4942,82.0,1,0.0,b'MC4w',b'MC4w',0.9185098,-0.27536705,-0.27536705
5018,82.0,1,0.0,b'MC4w',b'MS4w',-0.3774435,-0.6063684,-0.6063684
5614,79.0,1,1.0,b'MS4w',b'MC4w',0.3699803,0.404642,0.404642
6278,77.0,0,0.0,b'MC4w',b'MC4w',-0.04005283,-0.09744056,0.0
6362,82.0,0,0.0,b'MC4w',b'MC4w',0.655319,-0.6200626,0.0
6364,82.0,0,0.0,b'MC4w',b'MC4w',1.4090424,-0.17028235,0.0
7068,72.0,0,0.0,b'MC4w',b'MC4w',0.27069876,-0.9988539,0.0
7076,72.0,0,0.0,b'MC4w',b'MC4w',0.0015328284,0.27479738,0.0
7488,70.0,1,0.0,b'MC4w',b'MC4w',0.45098305,1.2551696,1.2551696
7720,70.0,0,0.0,b'MC4w',b'MC4w',-0.68709767,-0.4546684,0.0
8522,66.0,0,0.0,b'MC4w',b'MC4w',0.23950015,0.06838997,0.0
8834,66.0,0,0.0,b'MC4w',b'MC4w',0.32067874,0.82531834,0.0
8854,66.0,1,0.0,b'MC4w',b'MC4w',0.6507793,0.9372251,0.9372251
8980,65.0,1,0.0,b'MC4w',b'MC4w',-0.031765454,-0.8631395,-0.8631395
9710,64.0,0,0.0,b'MS4w',b'MS4w',-0.7188639,-0.08590863,0.0
10098,63.0,0,0.0,b'MC4w',b'MC4w',0.07634852,-0.8143045,0.0
10226,62.0,1,0.0,b'MC4w',b'MC4w',-0.25819916,-0.20740296,-0.20740296
10356,62.0,1,1.0,b'MC4w',b'MC4w',0.2486563,0.15516685,0.15516685
10794,60.0,1,0.0,b'MS4w',b'MC4w',1.0376455,1.0985447,1.0985447
10822,60.0,1,0.0,b'MS4w',b'MC4w',0.60906583,1.2712617,1.2712617
11348,59.0,0,0.0,b'MC4w',b'MC4w',-0.845071,-0.8867802,0.0
11390,59.0,0,1.0,b'MS4w',b'MC4w',0.8765271,0.5659154,0.0
11868,57.0,1,1.0,b'MC4w',b'MC4w',0.15984595,-0.4786343,-0.4786343
12306,56.0,0,1.0,b'MC4w',b'MS4w',-0.8903129,-0.9133242,0.0
12426,56.0,0,0.0,b'MC4w',b'MC4w',-0.69657344,-3.0309365,0.0
12896,54.0,0,0.0,b'MC4w',b'MC4w',0.34794605,0.20738654,0.0
12974,54.0,1,0.0,b'MC4w',b'MC4w',0.046489317,0.34228152,0.34228152
13530,53.0,1,1.0,b'MC4w',b'MC4w',-0.211109,-0.0635574,-0.0635574
13574,53.0,1,1.0,b'MC4w',b'MC4w',1.4744812,2.115367,2.115367
13710,52.0,0,1.0,b'MC4w',b'MC4w',0.34256855,0.03576275,0.0
13980,51.0,0,0.0,b'MC4w',b'MS4w',0.7973299,0.71896964,0.0
14048,51.0,1,0.0,b'MS4w',b'MC4w',0.59494865,0.2950435,0.2950435
14220,51.0,0,1.0,b'MC4w',b'MC4w',0.859708,0.68349785,0.0
14374,50.0,0,0.0,b'MC4w',b'MC4w',-0.050977934,-0.07639328,0.0
14382,50.0,0,0.0,b'MC4w',b'MS4w',0.66237736,0.995797,0.0
14384,50.0,0,0.0,b'MC4w',b'MC4w',0.032493778,0.23839492,0.0
14522,50.0,1,1.0,b'MC4w',b'MS4w',-0.96803975,-0.779422,-0.779422
14528,50.0,1,0.0,b'MC4w',b'MS4w',0.24274956,0.75252026,0.75252026
14532,50.0,1,0.0,b'MS4w',b'MC4w',0.25117934,0.54841286,0.54841286
14556,50.0,0,0.0,b'MC4w',b'MC4w',1.0712498,1.2178748,0.0
14678,50.0,1,1.0,b'MC4w',b'MC4w',-1.0820868,0.14346878,0.14346878
15294,49.0,1,0.0,b'MS4w',b'MC4w',0.5713105,1.0471158,1.0471158
15444,49.0,0,0.0,b'MC4w',b'MC4w',0.088463545,-0.06383847,0.0
16334,47.0,0,1.0,b'MC4w',b'MC4w',0.9178396,-0.2837411,0.0
16422,47.0,0,0.0,b'MC4w',b'MC4w',-0.7116084,-1.3205973,0.0
16424,47.0,0,0.0,b'MC4w',b'MS4w',0.050123475,-0.55050856,0.0
16514,47.0,1,1.0,b'MS4w',b'MC4w',-0.23630759,0.12174732,0.12174732
16594,47.0,0,0.0,b'MC4w',b'MC4w',0.71361494,0.2002901,0.0
16596,47.0,1,1.0,b'MC4w',b'MC4w',1.1186299,0.6197545,0.6197545
17058,46.0,0,0.0,b'MC4w',b'MC4w',-0.9042781,-0.4501573,0.0
17160,46.0,0,1.0,b'MC4w',b'MS4w',0.46139476,0.27835277,0.0
17172,46.0,0,0.0,b'MC4w',b'MC4w',0.4011062,-0.6893083,0.0
17722,45.0,1,1.0,b'MC4w',b'MC4w',-1.0573406,-1.2815166,-1.2815166
17752,45.0,1,1.0,b'MC4w',b'MC4w',0.4628152,0.37585676,0.37585676
17812,45.0,0,1.0,b'MS4w',b'MS4w',-0.19020593,-0.4270409,0.0
17906,45.0,1,0.0,b'MC4w',b'MC4w',-0.7814709,0.19852066,0.19852066
18112,44.0,1,0.0,b'MC4w',b'MC4w',-0.06176748,0.3309926,0.3309926
18494,44.0,0,1.0,b'MC4w',b'MS4w',-0.5006782,-0.42123133,0.0
18502,44.0,0,1.0,b'MC4w',b'MS4w',-0.7298473,-0.24316502,0.0
19470,42.0,0,0.0,b'MC4w',b'MC4w',0.011098285,0.5048908,0.0
