personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
37694,11.70733,1,0.0,0.0,0.0,0.19534421,0.12961984,0.13575387
37904,11.974823,1,0.0,0.0,0.0,0.40518522,0.4438722,0.46993828
38034,11.656065,1,0.0,0.0,0.0,0.030595064,-0.37242258,-0.37077582
35843,20.50265,1,0.0,0.0,0.0,0.45834792,0.8707596,0.8793088
39547,9.23594,1,0.0,0.0,0.0,0.89596295,0.8704723,0.9157226
35506,19.993908,1,0.0,0.0,0.0,0.39986193,0.7647687,0.7842202
38231,11.112342,1,0.0,0.0,0.0,0.090378284,-0.093372464,-0.08829951
38103,11.262764,1,0.0,0.0,0.0,0.102755785,-0.057422638,-0.0487957
38265,11.5706415,1,0.0,0.0,0.0,0.7425033,0.86811876,0.88708985
36435,18.776623,1,0.0,0.0,0.0,0.48568118,0.88709533,0.89864385
35086,22.447075,1,0.0,0.0,0.0,0.45039845,0.9304869,0.93669426
36674,13.121514,1,0.0,0.0,0.0,-0.018492699,-0.9699762,-0.9522661
38529,10.813791,1,0.0,0.0,0.0,0.07814956,-0.1148535,-0.11739147
37766,11.863539,1,0.0,0.0,0.0,0.3460456,0.32831872,0.33610892
23465,34.05417,1,0.0,0.0,0.0,0.9909506,1.2883992,1.3305542
38418,10.90643,1,0.0,0.0,0.0,0.086200714,-0.09902763,-0.105121374
37919,11.604841,1,0.0,0.0,0.0,0.13138878,0.04349363,0.05251491
37700,13.781449,1,0.0,0.0,0.0,0.669562,0.87650096,0.8892646
38815,10.542708,1,0.0,0.0,0.0,0.8595983,0.92192984,0.93433464
38018,11.703278,1,0.0,0.0,0.0,0.06763148,-0.08913946,-0.07235706
39007,9.753275,1,0.0,0.0,0.0,0.8650757,0.8780726,0.8912562
24115,32.0247,1,0.0,0.0,0.0,0.8563663,1.0397272,1.0523565
33760,22.82159,1,0.0,0.0,0.0,0.43753052,0.828827,0.85976493
37865,11.613004,1,0.0,0.0,0.0,0.10005212,-0.08217168,-0.07325864
38470,10.527954,1,0.0,0.0,0.0,0.48208058,0.43214512,0.4408002
35916,18.966846,1,0.0,0.0,0.0,0.44293594,0.7826799,0.8142556
29316,27.64719,1,0.0,0.0,0.0,0.6013007,0.87816334,0.88512397
37878,11.576318,1,0.0,0.0,0.0,0.07977903,-0.11735904,-0.10514128
38957,10.576166,1,0.0,0.0,0.0,0.079399705,-0.061873198,-0.065190196
37384,15.186638,1,0.0,0.0,0.0,0.57143104,0.86227596,0.88644934
22964,35.054333,1,0.0,0.0,0.0,0.9895412,1.2465141,1.2809887
26538,30.784817,1,0.0,0.0,0.0,0.7480463,0.98198855,0.9766518
37739,12.362749,1,0.0,0.0,0.0,0.69767463,0.81009614,0.8347236
38050,11.376495,1,0.0,0.0,0.0,0.06903994,-0.077236414,-0.06273508
38141,10.334334,1,0.0,0.0,0.0,0.76153684,0.73940873,0.7604945
38371,10.976673,1,0.0,0.0,0.0,0.07081032,-0.14288592,-0.14118576
37760,11.586618,1,0.0,0.0,0.0,0.0980258,-0.061027527,-0.047590375
38340,11.021806,1,0.0,0.0,0.0,0.06973529,-0.12875879,-0.12687683
38454,10.933364,1,0.0,0.0,0.0,0.07164943,-0.11308372,-0.12107301
38085,10.804901,1,0.0,0.0,0.0,0.59941626,0.60436535,0.60727346
38325,10.960696,1,0.0,0.0,0.0,0.10512841,-0.059250474,-0.060793877
35378,20.652754,1,0.0,0.0,0.0,0.44835985,0.86954975,0.8916719
25177,31.045265,1,0.0,0.0,0.0,0.77002764,0.9310132,0.95570076
35569,20.351671,1,0.0,0.0,0.0,0.44251764,0.8752737,0.89619696
37458,11.6928625,1,0.0,0.0,0.0,0.061380386,-0.15707552,-0.1374644
38788,10.100583,1,0.0,0.0,0.0,0.82842934,0.88908434,0.8934077
37567,12.642371,1,0.0,0.0,0.0,0.6706835,0.7862762,0.8188728
38344,10.690057,1,0.0,0.0,0.0,0.37300014,0.28600097,0.29556847
38436,11.000254,1,0.0,0.0,0.0,0.08781624,-0.094514966,-0.09160364
26693,30.612663,1,0.0,0.0,0.0,0.76360774,1.0068789,1.0191274
23291,33.75409,1,0.0,0.0,0.0,0.89310706,1.0510225,1.0477924
34190,21.771742,1,0.0,0.0,0.0,0.44777405,0.80006254,0.8428931
37463,12.844142,1,0.0,0.0,0.0,0.18462932,0.21048594,0.2105875
22503,35.515816,1,0.0,0.0,0.0,0.97780764,1.1996093,1.2095258
38356,10.857293,1,0.0,0.0,0.0,0.113416076,-0.013872385,-0.001634717
36530,18.788488,1,0.0,0.0,0.0,0.48105955,0.9277297,0.9334469
36973,13.6402,1,0.0,0.0,0.0,0.59878075,0.71664405,0.7380407
30256,26.220924,1,0.0,0.0,0.0,0.6533921,0.9743664,0.98863363
37854,11.394919,1,0.0,0.0,0.0,0.08790994,-0.059725642,-0.04283464
38227,11.143479,1,0.0,0.0,0.0,0.15513587,0.04130602,0.05311179
37829,11.528413,1,0.0,0.0,0.0,0.108893394,-0.05029738,-0.0384804
38235,11.103709,1,0.0,0.0,0.0,0.7781645,0.8682126,0.881147
37807,11.482307,1,0.0,0.0,0.0,0.09295678,-0.08348334,-0.074417114
38168,11.107146,1,0.0,0.0,0.0,0.075891495,-0.11914492,-0.11889291
38064,11.226239,1,0.0,0.0,0.0,0.109654784,-0.029958129,-0.020158052
37544,11.784166,1,0.0,0.0,0.0,0.08864534,-0.06675613,-0.053725123
23260,33.741352,1,0.0,0.0,0.0,0.9006927,1.079154,1.1153646
31923,23.857431,1,0.0,0.0,0.0,0.5210804,0.83000576,0.85710025
38070,10.9026165,1,0.0,0.0,0.0,0.6747191,0.679412,0.6942992
38356,11.072528,1,0.0,0.0,0.0,0.094622254,-0.05313623,-0.044576883
37814,11.749397,1,0.0,0.0,0.0,0.7297485,0.80121744,0.82055116
38268,11.533661,1,0.0,0.0,0.0,0.07135928,-0.037218094,-0.03166437
36402,17.321981,1,0.0,0.0,0.0,0.47276437,0.7879894,0.80114865
36559,14.1975975,1,0.0,0.0,0.0,0.012164593,-0.93988025,-0.89795136
38471,11.995427,1,0.0,0.0,0.0,-0.0036678314,-1.2542617,-1.2678285
26794,29.522137,1,0.0,0.0,0.0,0.7798538,0.9965966,1.0197537
36529,17.766615,1,0.0,0.0,0.0,0.49430633,0.8559489,0.8734549
37742,12.265656,1,0.0,0.0,0.0,-0.018180966,-1.1118975,-1.0974514
38172,11.081282,1,0.0,0.0,0.0,0.09008491,-0.08144641,-0.07538307
37449,12.538368,1,0.0,0.0,0.0,-0.013651371,-1.11022,-1.1064212
37699,12.169817,1,0.0,0.0,0.0,0.49675262,0.5695926,0.57491386
38128,11.091178,1,0.0,0.0,0.0,0.10683799,-0.021287084,-0.015979052
37558,12.608724,1,0.0,0.0,0.0,0.26655495,0.30124676,0.30638897
39365,8.88476,1,0.0,0.0,0.0,0.9578761,0.9307488,0.9339299
33430,22.069998,1,0.0,0.0,0.0,0.43160903,0.7333417,0.7760798
39154,10.041697,1,0.0,0.0,0.0,0.82327473,0.8846078,0.91321313
38926,10.336528,1,0.0,0.0,0.0,0.18716705,0.07686722,0.079473615
38316,10.977613,1,0.0,0.0,0.0,0.7820374,0.87043786,0.88729227
38690,10.490588,1,0.0,0.0,0.0,0.7961403,0.8543987,0.8638952
35622,19.73097,1,0.0,0.0,0.0,0.46610677,0.84777284,0.88374305
27829,28.60119,1,0.0,0.0,0.0,0.69826806,0.92481613,0.94078195
37284,15.692768,1,0.0,0.0,0.0,0.53619933,0.8303565,0.84960055
24713,31.482758,1,0.0,0.0,0.0,0.80294776,0.9571172,0.97866535
35062,20.959152,1,0.0,0.0,0.0,0.37959766,0.7837831,0.8059243
38053,10.571199,1,0.0,0.0,0.0,0.7614963,0.7496116,0.77614796
37425,12.466484,1,0.0,0.0,0.0,0.008925438,-0.6289538,-0.617841
36404,17.406984,1,0.0,0.0,0.0,0.48702133,0.82500255,0.8328545
38872,10.354062,1,0.0,0.0,0.0,0.093888044,-0.092442036,-0.09144676
36868,13.665455,1,0.0,0.0,0.0,0.02966535,-1.1651092,-1.1206098
38501,9.903803,1,0.0,0.0,0.0,0.8521842,0.8296374,0.847636
38586,11.361863,1,0.0,0.0,0.0,-0.013754845,-1.2641253,-1.26366
33844,22.358902,1,0.0,0.0,0.0,0.43307924,0.7897526,0.8277271
36452,18.91585,1,0.0,0.0,0.0,0.48864508,0.8897587,0.9159206
37923,11.260957,1,0.0,0.0,0.0,0.118890285,-0.030075908,-0.0281111
23378,33.86785,1,0.0,0.0,0.0,0.9097997,1.0946233,1.1286795
37738,11.866034,1,0.0,0.0,0.0,0.011948824,-0.35781693,-0.34504294
38301,10.383623,1,0.0,0.0,0.0,0.7642642,0.75983274,0.77663124
27525,29.106907,1,0.0,0.0,0.0,0.6954868,0.9381963,0.9474783
38257,10.02611,1,0.0,0.0,0.0,0.8273138,0.76914084,0.79899204
26407,29.592329,1,0.0,0.0,0.0,0.74835837,0.9237745,0.9318279
38813,10.552592,1,0.0,0.0,0.0,0.809165,0.8800465,0.8905853
27848,28.010227,1,0.0,0.0,0.0,0.64252234,0.84607124,0.87388825
23172,33.756577,1,0.0,0.0,0.0,0.9375973,1.1106038,1.1420178
36779,17.98886,1,0.0,0.0,0.0,0.4904747,0.8571379,0.87027633
37621,12.178055,1,0.0,0.0,0.0,0.16153741,0.09395528,0.10430229
36641,16.887516,1,0.0,0.0,0.0,0.5321789,0.8367437,0.8571713
36544,16.692135,1,0.0,0.0,0.0,0.5077777,0.7925583,0.81403875
37249,15.196716,1,0.0,0.0,0.0,0.6054288,0.8710569,0.887306
38578,11.033255,1,0.0,0.0,0.0,0.2377423,0.1763674,0.18830979
38567,10.719593,1,0.0,0.0,0.0,0.12003827,-0.02577424,-0.031724572
38048,11.413965,1,0.0,0.0,0.0,0.03149867,-0.30892003,-0.31018162
36742,17.823605,1,0.0,0.0,0.0,0.5114814,0.8798758,0.89859056
38645,9.519372,1,0.0,0.0,0.0,0.85472715,0.82072973,0.8467591
37476,15.827328,1,0.0,0.0,0.0,0.5333624,0.83336306,0.857641
27574,28.629517,1,0.0,0.0,0.0,0.6350111,0.83566976,0.8497889
35692,20.136812,1,0.0,0.0,0.0,0.4241562,0.8250594,0.842157
35966,19.232218,1,0.0,0.0,0.0,0.43719935,0.82314944,0.8368032
37385,12.115183,1,0.0,0.0,0.0,0.017950177,-0.4894805,-0.48912096
30555,25.415878,1,0.0,0.0,0.0,0.58497965,0.8523195,0.8864143
37752,11.742317,1,0.0,0.0,0.0,0.099341035,-0.080338836,-0.07059753
37654,12.937631,1,0.0,0.0,0.0,0.679265,0.8290676,0.8352674
36658,13.547665,1,0.0,0.0,0.0,0.015881538,-1.0334656,-0.9984449
37772,11.49881,1,0.0,0.0,0.0,0.115749955,-0.015776515,-0.0042892694
36864,17.075636,1,0.0,0.0,0.0,0.4883554,0.8218522,0.8426517
37861,11.525549,1,0.0,0.0,0.0,0.13776076,0.04340315,0.052353263
38046,11.816955,1,0.0,0.0,0.0,0.74395525,0.8325467,0.85794747
37692,11.604239,1,0.0,0.0,0.0,0.09101641,-0.10428727,-0.08737087
38142,11.158587,1,0.0,0.0,0.0,0.0775851,-0.124551535,-0.121264696
35802,18.812632,1,0.0,0.0,0.0,0.43289304,0.7733121,0.7957789
35013,21.015491,1,0.0,0.0,0.0,0.4388777,0.8434018,0.8607602
21588,36.613453,1,0.0,0.0,0.0,1.0464022,1.2490735,1.2520626
29923,26.714771,1,0.0,0.0,0.0,0.61302817,0.92058825,0.92914116
35518,21.070232,1,0.0,0.0,0.0,0.44735146,0.88306475,0.9097692
37736,11.463858,1,0.0,0.0,0.0,0.27434468,0.18755174,0.18996704
37896,12.252414,1,0.0,0.0,0.0,0.21062148,0.2131275,0.21300566
18439,44.36499,1,0.0,0.0,0.0,1.3833675,1.7333181,1.7404833
38357,10.9862,1,0.0,0.0,0.0,0.08287394,-0.108252645,-0.10623777
36011,20.07544,1,0.0,0.0,0.0,0.46791613,0.897918,0.91090727
23191,33.856415,1,0.0,0.0,0.0,0.9128206,1.1261971,1.1412787
36559,18.65794,1,0.0,0.0,0.0,0.47781277,0.88157296,0.89402103
36442,13.892679,1,0.0,0.0,0.0,-0.0036872625,-0.99184036,-0.9720361
37751,14.256549,1,0.0,0.0,0.0,0.6560055,0.93263614,0.9374398
22526,36.319447,1,0.0,0.0,0.0,1.0057657,1.2774634,1.3071554
37848,11.425353,1,0.0,0.0,0.0,0.090168834,-0.08050513,-0.06791139
35600,19.946005,1,0.0,0.0,0.0,0.43005538,0.8466239,0.8673943
38064,11.121156,1,0.0,0.0,0.0,0.11517739,-0.045638442,-0.042384386
38487,10.792504,1,0.0,0.0,0.0,0.087691665,-0.07140255,-0.06620872
33050,22.4025,1,0.0,0.0,0.0,0.49912703,0.7987598,0.835441
26874,29.944176,1,0.0,0.0,0.0,0.73639023,0.96001685,0.98704123
38842,9.67299,1,0.0,0.0,0.0,0.88703513,0.9048544,0.9169316
