personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
29917.904,23.266855,587,382,681,630,-0.1815927,-0.5879307,-0.0051629543
30299.43,22.784937,370,660,325,245,-0.38136482,-0.7421899,-0.014698744
37192.742,12.588024,440,626,347,490,-0.15520453,-0.22654772,-0.010760307
25212.295,29.506693,828,236,797,807,-0.5196992,-0.51542914,-0.0015403032
47196.93,1.089613,188,709,240,296,-1.2581594,-1.2284982,-0.033438206
27828.467,28.556126,87,796,79,131,-0.8880625,-0.93837976,-0.015563488
37134.336,11.929167,2,2,4,3,0.68318284,0.84620976,0.014320731
22491.014,38.493736,264,87,467,199,0.6726607,0.0855304,0.010341644
29536.396,24.91821,270,664,359,379,-0.33601677,-0.71911836,0.0025513172
39183.824,9.84314,282,716,362,343,-0.21975017,-0.055537462,0.002788663
28960.225,25.858774,662,408,564,713,-0.53683996,-0.7194067,-0.010678172
41567.348,5.3957167,657,390,337,697,-0.7296034,-0.8632215,-0.01608932
30327.66,23.003185,648,398,610,654,-0.5136318,-0.7127174,-0.03543389
38508.285,10.32146,428,473,552,718,-0.27081907,-0.18000484,-0.014697313
27991.955,27.915197,212,780,75,171,-1.0095525,-0.9736742,-0.012657523
44249.4,3.22187,353,513,252,589,-0.93078434,-1.0477285,-0.021876931
46798.703,1.7664754,102,779,13,201,-1.1484163,-1.209296,-0.0110759735
29429.727,25.492952,228,683,254,133,-0.33976972,-0.65180516,-0.0007811785
37915.535,11.176166,625,400,653,765,-0.29328525,-0.37735224,-0.008056164
18995.617,42.1845,120,86,154,87,0.27773905,0.07193828,0.0083550215
45491.832,2.5490432,285,644,279,532,-1.0534396,-1.157628,-0.019072175
18992.662,46.10932,417,115,399,291,0.6011803,0.030837774,-0.0049818754
43225.395,5.443108,49,11,141,62,0.39596152,0.9715388,0.029180288
40483.504,6.4560976,730,298,764,781,-0.5970813,-0.7207556,-0.016180992
28824.377,25.349272,742,188,758,427,0.18609977,0.06643355,-0.0065089464
36957.527,13.057069,245,657,150,203,-0.12301242,-0.16212273,-0.013871908
37443.7,11.383012,115,42,241,96,0.4412521,0.568977,0.020313144
45362.227,2.7426672,123,705,55,194,-1.0665824,-1.1843722,-0.01146996
34056.117,16.600393,623,420,517,513,-0.37578762,-0.6654357,-0.006908536
42059.12,4.8510895,650,326,473,729,-0.78869295,-0.8951088,-0.008536816
27426.943,26.765074,426,128,175,270,0.3864962,0.1842134,0.01406467
37722.742,11.158488,754,223,727,611,0.11777961,0.29166567,0.0071781874
29261.406,25.593075,157,746,150,162,-0.49851573,-0.77799284,-0.0065244436
22951.127,36.82,827,190,817,822,0.5563638,-0.06973839,-0.008216262
31879.166,20.255337,668,375,498,464,-0.2988584,-0.6407869,-0.025506377
33260.12,19.292423,172,752,223,200,-0.20948744,-0.5751852,-0.0049028397
13011.661,62.01034,725,154,781,756,1.1199632,-0.18357956,-0.0075826645
17143.244,48.902794,549,148,504,298,0.47612727,-0.08531046,0.005497098
16128.785,47.82119,319,122,553,401,-0.03944564,-0.091879606,-0.0010627508
39687.293,9.287643,178,312,130,138,-0.03315878,0.2532456,-0.010183454
29479.434,24.402838,581,461,605,674,-0.49913228,-0.6970655,-0.014805913
28195.19,26.848316,491,559,324,504,-0.8107554,-0.79719913,-0.026008487
28451.416,25.95085,361,637,249,369,-0.9290581,-0.8687103,-0.016785383
33075.832,17.975908,710,271,687,615,0.01142776,-0.1784128,-0.016658187
31467.24,20.256758,765,226,742,520,0.14445102,0.027297974,-0.0018434525
31723.818,20.302578,568,471,463,545,-0.5331979,-0.79145634,-0.028599977
44942.082,3.7806234,39,791,18,155,-0.8992076,-0.9436722,0.004237652
25716.463,30.473116,774,228,795,531,0.04928267,-0.22767818,-0.023553252
48997.59,0.7866765,43,795,30,179,-1.3499854,-1.4070051,-0.019793391
12310.504,65.03118,457,120,453,234,0.98266554,-0.111943245,-0.006757617
38915.42,10.457019,324,661,332,375,-0.20464838,-0.23259723,-0.013017654
11964.834,63.430984,572,137,609,316,0.9835186,-0.1333133,0.0014922619
33233.773,16.636444,783,317,744,741,-0.39766288,-0.6319587,-0.012731552
37495.383,12.236106,571,521,562,588,-0.15678537,-0.16132939,-0.021634102
-86883390.0,131.564,53,38,28,16,1.5939116,-0.27965844,0.007512212
8908.965,70.01664,28,51,12,26,0.5481546,-0.056372285,0.020358324
15244.62,52.88872,68,69,56,48,0.36827433,0.023228407,0.01572752
44206.44,2.7009249,479,474,535,656,-1.0144861,-1.0782855,-0.031071544
39713.055,8.767645,288,222,209,312,0.13219821,0.48374808,0.005529642
38562.504,10.52732,206,412,310,251,-0.108338475,0.04617071,0.0047905445
38821.348,10.198635,159,230,317,137,0.16280329,0.4030651,0.00971818
29198.738,25.540684,278,714,274,359,-0.6433097,-0.801646,-0.0033650398
38088.457,10.823099,367,587,371,300,-0.5438793,-0.8052497,-0.003975868
45089.293,2.7777905,219,646,86,421,-0.99319303,-1.0986032,-0.0016422272
43667.082,5.226075,22,3,14,19,0.4889747,0.9537958,0.028316498
41029.516,7.4621973,238,706,126,191,-0.49602592,-0.71514,0.01438868
30276.887,22.859419,510,563,323,503,-0.47941387,-0.7947054,-0.023799181
29929.76,24.15481,595,432,540,652,-0.28863204,-0.6387993,-0.006883502
29189.168,25.4105,287,682,338,266,-0.52248967,-0.7723675,0.0015993118
38695.156,10.647794,248,688,244,371,-0.20925558,-0.16367865,-0.016562223
39290.105,9.261342,467,536,384,435,-0.38545632,-0.5504961,-0.012439251
24525.727,31.785175,626,255,612,596,-0.6381011,-0.63841736,0.0095671415
28849.86,26.36742,232,704,198,226,-0.7842382,-0.8454102,-0.011742473
30728.283,20.7069,447,130,649,315,0.38696432,0.26330698,0.0014622211
33103.72,18.082056,135,742,111,79,-0.3341329,-0.69785976,-0.011008263
12576.521,57.947723,79,66,48,38,0.15402591,-0.058339596,-0.016721249
44727.477,2.4463995,356,485,351,475,-1.054369,-1.0872996,-0.027199268
25810.357,29.886942,446,277,663,353,-0.32475936,-0.57512355,-0.00069248676
29393.316,25.32358,462,509,503,509,-0.5819274,-0.7185836,-0.006141782
27503.264,28.194244,92,784,67,110,-1.0621018,-0.9640815,-0.027103186
3150.5789,91.43293,82,58,230,129,1.5567856,-0.16511083,0.010063291
