personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
32639.404,19.407637,321,344,355,762,-0.34905577,-0.96616125,-0.94010603
24811.57,33.04963,314,399,617,664,-0.7123867,-1.0142896,-1.0033934
38010.434,11.470577,344,65,549,563,0.053446412,-0.525867,-0.537488
40081.99,8.510914,2,15,42,92,-0.3513968,-1.2022977,0.031511307
26688.21,30.599367,643,737,113,179,-0.7407861,-0.928416,-0.920851
32243.094,25.128925,317,287,625,753,0.2572875,0.6032995,0.6059238
29803.926,26.243433,513,639,118,206,-0.49432766,-1.150065,-1.1363211
37184.31,16.454819,617,56,164,312,0.69111836,1.0470812,1.0344048
28438.744,28.357271,396,364,162,498,-0.34610808,-0.15522873,-0.16162503
22253.092,39.77475,765,697,349,119,-0.94368875,-1.1771729,-1.2494488
26452.217,30.778685,300,393,686,768,-0.6643355,-0.9694079,-0.9415395
36405.902,12.248902,196,534,619,674,-0.6872016,-0.9818181,-0.5779438
37455.41,13.669366,535,140,170,525,0.28004038,0.39663482,0.39134943
31900.111,28.597353,459,33,174,226,0.5699785,1.0172055,1.0282059
24010.342,34.62663,401,408,583,715,-0.81425714,-1.0007393,-1.0243914
34908.09,19.239733,615,71,173,528,0.6501517,1.0018034,0.99147177
35751.75,13.545937,182,806,149,59,-0.62513447,-0.80047333,-0.30875194
38101.543,10.966463,614,202,234,403,0.41648078,0.44495416,0.4209963
33421.875,18.193285,403,328,178,634,-0.26393914,-0.9062066,-0.89397526
37955.09,10.769195,130,221,760,752,-0.30788982,-0.8543887,-0.061846018
36928.46,12.144096,170,725,548,166,-0.4516511,-0.53415537,-0.012446284
22493.6,37.054672,377,395,709,612,-0.83897316,-1.0370817,-1.0680544
32717.018,19.784254,192,386,764,743,-0.36812818,-0.507862,-0.3115821
29171.115,25.94588,634,18,227,514,1.0301926,1.3798409,1.347096
29554.115,25.54525,409,437,501,727,-0.5152819,-0.9236555,-0.9127674
25008.385,44.53912,636,107,12,36,0.68267703,1.1674552,1.1087017
32035.44,22.030369,345,368,333,621,-0.35582852,-1.0612433,-1.0354865
19567.541,43.225643,746,485,407,194,-1.0081751,-1.1623182,-1.2276332
30331.95,23.6248,309,367,17,231,-0.48098874,-0.79396355,-0.74491525
25412.84,33.106728,735,673,151,484,-0.5767622,-0.45935547,-0.47283554
50136.574,0.26134348,4,826,10,448,-1.3089108,-1.3182485,0.007261038
