personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
25335.838,33.399837,369,383,137,134,-0.6601578,-0.4726218,-0.48832858
23066.736,36.11352,304,248,129,137,-0.87244165,-0.9404025,-0.9527694
19855.686,40.696045,267,142,110,143,-0.946077,-1.0768836,-1.0692191
38642.883,10.273817,96,152,279,263,-0.197765,-0.053014874,-0.004623294
41842.332,5.655798,111,253,254,287,-0.6887058,-0.8879317,-0.0044994354
38865.08,8.931295,199,79,376,365,-0.4701488,-0.7369044,-0.020394921
13211.15,51.86255,373,266,9,15,-1.1618268,-1.3771291,-1.3699973
51078.055,0.11563504,5,387,53,12,-1.4186883,-1.3126948,0.0071486235
23905.82,35.13047,349,333,86,82,-0.85603285,-0.88661456,-0.9019526
20964.783,39.497303,296,262,159,116,-0.95340896,-1.0720015,-1.0839422
38858.543,10.233309,71,188,228,260,-0.17319441,-0.0049517155,0.004398465
31320.842,20.720375,218,127,330,186,-0.5166285,-0.56660616,-0.3840829
39073.047,9.971142,44,234,176,251,-0.18552637,-0.0250144,0.0092356205
19524.918,41.223328,252,117,154,172,-0.94700325,-1.111242,-1.1014032
22340.4,37.234848,279,218,149,179,-0.89525557,-0.99007976,-0.9939269
26021.145,29.302294,212,49,387,384,0.3726833,0.3099842,0.23102558
13311.431,52.0077,378,251,6,9,-1.1761477,-1.4274695,-1.408808
44843.39,2.9028986,79,324,260,200,-0.93229425,-1.0107703,-0.007855773
19312.936,42.272976,331,292,39,39,-1.0190563,-1.1568105,-1.1613123
22395.564,37.755688,362,350,82,62,-0.9160148,-0.9642165,-0.9837742
37479.13,11.734205,156,90,338,368,-0.09864795,-0.01812756,-0.007794261
46674.715,1.8676498,29,384,208,48,-1.0615351,-1.1016071,-0.009787798
36467.105,12.46426,198,70,357,310,-0.20949912,-0.40237474,-0.030717611
37320.227,11.321602,193,65,375,360,0.1264497,0.31880057,-0.025078773
40055.77,8.394003,54,325,146,206,-0.52516866,-0.842667,0.00039613247
44045.01,3.1096683,106,84,232,133,-0.9291339,-0.9971987,-0.01204133
38752.27,10.378591,98,131,226,249,-0.22424376,-0.056569815,-0.02349782
40024.445,8.326922,74,286,199,234,-0.52837706,-0.8311683,-0.0019638538
39052.547,10.084022,47,271,130,203,-0.18372047,-0.039377093,0.005663514
28129.668,25.21422,321,31,345,370,0.82796204,0.9391854,1.0298352
44057.605,3.4177752,129,270,281,227,-0.8830203,-0.97533035,-0.008658648
40328.21,7.7784796,101,260,237,235,-0.5626955,-0.8482199,0.00016069412
43722.453,3.7405958,136,255,313,283,-0.84404063,-0.9427371,-0.012462497
45739.29,2.4401011,40,375,207,107,-0.9887823,-1.0656719,-0.0014053583
20410.242,39.932575,266,146,104,150,-0.93918896,-1.0745928,-1.0659707
24292.865,34.25982,335,276,95,115,-0.8201976,-0.843634,-0.85785484
42654.344,4.8713946,130,295,276,196,-0.7527813,-0.9302349,-0.011759639
18526.27,43.923065,345,314,27,27,-1.0607367,-1.2216606,-1.2322984
39466.805,9.801631,25,338,93,135,-0.20797157,-0.0527575,0.007234454
38221.8,10.687993,164,123,365,353,-0.18939936,-0.07380533,-0.012646794
44911.96,2.801425,131,288,326,215,-0.9429742,-1.0080972,-0.008292437
18711.822,42.65075,294,166,35,72,-1.001004,-1.1605341,-1.1477559
23617.412,34.190018,244,10,132,232,0.83296406,1.0192404,1.0223613
33441.637,17.127058,214,98,339,313,-0.42741787,-0.42435944,-0.24511993
17872.062,43.970474,295,162,37,60,-1.0208585,-1.1912446,-1.1841106
43798.168,3.6760411,148,230,328,291,-0.8493582,-0.9474158,-0.011991501
39029.785,10.063151,51,220,160,204,-0.17924118,-0.017736077,0.0046756268
37406.74,11.3821745,173,67,297,323,0.10524809,0.3025962,-0.033733368
28011.04,26.93595,231,112,257,209,-0.63187516,-0.6511332,-0.55855393
40268.555,8.018063,56,352,124,177,-0.5527965,-0.8722795,0.0010894537
19462.494,41.711834,319,186,48,52,-0.98912,-1.138061,-1.1384275
14670.91,50.2348,379,327,14,17,-1.1495867,-1.3404696,-1.3399158
44493.977,3.1511474,100,307,287,162,-0.9067279,-1.0039661,-0.0085783005
35111.016,12.986964,165,38,264,338,0.17482567,0.30406594,-0.015916705
39150.7,9.558158,127,167,222,288,-0.4186679,-0.67413807,0.0048242807
26363.283,31.012295,338,264,194,194,-0.69980645,-0.623659,-0.63044536
38311.285,10.458881,174,113,262,351,-0.2433151,-0.24475455,0.001901269
39432.695,9.411704,137,158,255,222,-0.46393573,-0.76645803,0.00036478043
22810.049,35.28383,386,8,140,41,1.0112264,1.2379653,1.2885613
39077.37,9.928989,41,241,163,220,-0.18917179,-0.026192427,0.0054169893
37095.707,11.898653,385,18,203,318,0.82729185,0.8363457,0.8936821
34934.14,14.362408,238,56,347,386,0.42783737,0.40037012,0.43168652
25658.588,32.700684,372,367,65,44,-0.79612684,-0.7677833,-0.791623
46940.367,1.675648,22,379,183,70,-1.0887098,-1.1111062,-0.0031057596
43227.09,4.1668444,112,275,273,201,-0.8091966,-0.9592726,-0.0035840273
24933.334,31.578892,301,27,252,316,0.85504067,1.0341856,1.0740199
42533.605,4.782516,133,204,306,252,-0.75644493,-0.9211669,-0.0018841028
40726.316,8.859237,3,2,3,4,-0.5753381,-0.9503994,0.015836954
24170.576,32.56238,240,61,356,377,0.5161543,0.65553665,0.7126945
38077.6,10.937892,172,114,310,356,-0.1683935,-0.084041834,-0.008972764
38153.332,10.096872,188,60,348,373,0.19393027,0.46624124,-0.020628214
43633.383,3.8056846,119,219,283,262,-0.82859206,-0.954486,-0.0066571236
15815.817,47.577103,352,225,15,20,-1.0906594,-1.2758441,-1.2604864
39291.688,8.717797,76,35,170,321,0.25549257,0.6170962,-0.0071219206
34728.957,15.071917,213,107,321,253,-0.36343563,-0.3358134,-0.16974092
29656.72,20.833755,204,42,335,387,0.29922175,0.2148639,0.041536808
24269.283,34.58547,356,331,67,59,-0.8443122,-0.8728739,-0.89507425
40459.293,7.574868,86,305,198,188,-0.5682436,-0.85924137,-0.0037134886
42356.004,7.5660095,0,1,0,6,-0.6787733,-1.0909805,0.026694775
18789.043,43.41654,222,54,285,375,0.55288196,0.41127455,0.63994277
38884.297,10.243498,55,278,213,261,-0.17340136,-0.026266456,0.01104641
37286.883,11.258402,196,72,327,309,-0.1880517,-0.24780524,-0.026915312
26864.594,29.418804,290,136,209,185,-0.64325666,-0.57650065,-0.5403122
36411.188,12.87992,206,106,341,293,-0.29792273,-0.26032317,-0.095597744
28913.145,23.448011,233,73,269,367,0.009916186,0.15427339,0.2100941
38895.695,8.858379,203,82,380,369,-0.4810865,-0.74834085,-0.024337769
26006.586,28.65057,232,74,340,376,0.021248579,0.19186723,0.2594453
36386.29,12.09141,195,64,349,348,-0.2913077,-0.6231661,-0.023789525
25939.277,31.914303,355,371,80,25,-0.6906743,-0.5687083,-0.55847573
37109.492,11.232282,116,28,169,208,-0.3573445,-0.68000853,-0.014984608
24560.064,33.795235,370,300,60,58,-0.8247014,-0.84413767,-0.85723126
20360.467,40.00407,278,163,131,160,-0.9374348,-1.0493364,-1.0472083
20073.955,40.711918,315,226,79,81,-0.9761336,-1.1031435,-1.0976558
28704.2,24.657835,225,91,259,292,-0.43888104,-0.29358256,-0.2280742
19465.85,42.504047,325,322,57,74,-1.0323274,-1.1797996,-1.1931543
38712.484,10.250901,83,213,258,240,-0.21578455,-0.08261442,-0.011379361
40824.395,7.0031366,7,9,20,36,0.30419052,0.74385786,0.0037060976
38747.71,10.45937,90,199,177,255,-0.19032848,-0.044624925,0.008390307
43935.836,3.4681773,134,249,277,237,-0.88004255,-0.96741486,-0.0075325966
20060.336,40.57742,271,151,111,157,-0.9535512,-1.0892117,-1.0798361
48170.32,1.0438926,23,359,284,71,-1.1947446,-1.1540074,-0.0019522905
42213.926,5.4645634,42,374,145,69,-0.71971583,-0.96982825,-0.006723404
24375.71,33.464943,251,103,143,168,-0.79235625,-0.86440635,-0.8468287
