personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
23201.072,36.150936,0.9994576,1.0238574,0.0019682646,-0.0025333166,-0.8076087,-0.78831935,-0.76844895
39778.992,9.078611,-0.0010197163,0.93688476,0.0004339218,-0.0010514259,-0.3424765,-0.095703244,0.019046187
38954.14,10.6550255,1.0991881,-0.024707198,-0.0015423298,-0.0037878752,0.118894815,0.044894934,0.044313192
27282.096,29.127867,0.95806956,0.95706606,0.002889514,-0.000557065,-0.63669324,-1.0921009,-1.0477569
37876.47,11.697846,1.0126905,0.003293991,0.001265049,-0.0013511181,0.1612395,0.10364437,0.12951422
34924.58,15.689825,0.054533005,0.88907695,0.002282858,0.0009280443,-0.3957311,-0.7109455,0.03311336
31567.424,22.8675,1.0216053,0.9169774,0.00065386295,-0.0028406382,-0.3358189,-1.3480368,-1.275188
39611.33,8.920945,0.056776404,0.88522613,0.0031318665,0.00040626526,-0.5196594,-0.7289691,0.026653647
29655.75,25.99258,0.034680724,0.9140099,0.002251625,0.0011267662,-0.5261172,-0.7819363,0.0046924353
27913.248,26.334854,0.9489722,0.95005965,0.0021489859,0.0014715195,-0.5897083,-0.9871242,-0.92105067
37078.56,12.926526,0.98708594,0.055286884,0.0014988184,-0.00028514862,-0.053973913,-1.2885268,-1.2358577
32023.828,25.17602,1.0526841,-0.011323571,0.0025812387,-0.0017758608,0.5750923,0.941362,0.95383394
36569.426,12.991566,0.93159485,0.044012904,0.0038057566,0.0005326271,-0.08018303,-1.0593877,-0.99963987
23621.412,35.038174,1.0124145,1.0458517,0.0019316673,-0.002677083,-0.8538418,-0.81710696,-0.79743457
43013.105,4.9623933,-0.0001591444,0.91441,0.00037562847,-0.0013400316,-0.7547953,-0.8545308,0.039198518
21271.32,37.601482,0.92173207,0.9224206,0.0040005445,-0.00029456615,-0.88148594,-1.1145558,-1.0733635
27306.78,27.563566,0.027261853,-0.02255261,0.001332283,-0.003046155,0.40097547,0.23930407,-0.024297714
38801.11,10.447162,1.0489767,-0.0023299456,-0.00052440166,-0.003722906,0.027333379,-0.12851894,-0.1279478
27068.092,29.951332,1.00279,1.0437388,0.000461936,-0.002435565,-0.7682122,-1.2243104,-1.208072
27667.62,28.626455,0.97625935,0.9981245,0.0016850233,-7.545948e-05,-0.63014174,-1.0311155,-0.9994247
21076.44,40.548977,1.0575156,1.0300126,0.0019590855,-0.0033017397,-0.37251198,0.037353754,0.020858765
39341.918,9.778856,0.019178152,0.928193,0.00058960915,0.00079512596,-0.20924151,0.020730019,-0.0004734993
38682.016,10.9649105,1.0309622,-0.008854508,0.00072336197,-0.0033328533,-0.044009924,-0.42004895,-0.43658447
38177.062,11.07795,1.024709,-0.0030610561,0.00064754486,-0.002631545,0.07025945,-0.030381441,-0.031060576
20614.701,40.551704,0.9703295,0.9941633,0.0029435158,-0.0025703907,-0.99492204,-1.221972,-1.1795745
23949.848,33.704155,0.9405433,0.9312018,0.0032564402,-0.00058329105,-0.8192744,-1.10028,-1.0611832
